Flag,Player,Session,Score,Session Date
Actual,Player 1,Cardio,6,31/03/2022
Actual,Player 1,Cardio,7,1/4/2022
Actual,Player 1,Cardio,8,4/4/2022
Actual,Player 1,Cardio,4,5/4/2022
Actual,Player 1,Cardio,9,6/4/2022
Actual,Player 1,Cardio,10,7/4/2022
Carried over,Player 1,Cardio,5,14/04/2022
Carried over,Player 1,Cardio,5,13/04/2022
Carried over,Player 1,Cardio,5,12/4/2022
Carried over,Player 1,Cardio,5,11/4/2022
Actual,Player 1,Cardio,5,8/4/2022
Actual,Player 1,Cardio,3,15/04/2022
Carried over,Player 1,Cardio,3,19/04/2022
Actual,Player 1,Cardio,3,18/04/2022
Actual,Player 1,Cardio,6,20/04/2022
Actual,Player 1,Cardio,6,21/04/2022
Actual,Player 1,Cardio,3,22/04/2022
Carried over,Player 1,Cardio,4,28/04/2022
Carried over,Player 1,Cardio,4,27/04/2022
Carried over,Player 1,Cardio,4,26/04/2022
Actual,Player 1,Cardio,4,25/04/2022
Carried over,Player 1,Cardio,9,2/5/2022
Actual,Player 1,Cardio,9,29/04/2022
Carried over,Player 1,Cardio,6,5/5/2022
Carried over,Player 1,Cardio,6,4/5/2022
Actual,Player 1,Cardio,6,3/5/2022
Actual,Player 1,Cardio,7,6/5/2022
Carried over,Player 1,Cardio,7,11/5/2022
Carried over,Player 1,Cardio,7,10/5/2022
Actual,Player 1,Cardio,7,9/5/2022
Actual,Player 1,Cardio,8,12/5/2022
Actual,Player 1,Cardio,9,13/05/2022
Actual,Player 1,Cardio,10,16/05/2022
Carried over,Player 1,Cardio,3,19/05/2022
Carried over,Player 1,Cardio,3,18/05/2022
Actual,Player 1,Cardio,3,17/05/2022
Actual,Player 1,Cardio,4,20/05/2022
Actual,Player 1,Cardio,9,23/05/2022
Carried over,Player 1,Cardio,7,25/05/2022
Actual,Player 1,Cardio,7,24/05/2022
Carried over,Player 1,Cardio,8,30/05/2022
Carried over,Player 1,Cardio,8,27/05/2022
Actual,Player 1,Cardio,8,26/05/2022
Actual,Player 1,Cardio,10,31/05/2022
Actual,Player 1,Cardio,3,1/6/2022
Actual,Player 1,Cardio,6,2/6/2022
Actual,Player 1,Cardio,3,3/6/2022
Actual,Player 1,Cardio,6,6/6/2022
Actual,Player 1,Cardio,4,7/6/2022
Actual,Player 1,Cardio,10,8/6/2022
Carried over,Player 1,Cardio,4,10/6/2022
Actual,Player 1,Cardio,4,9/6/2022
Actual,Player 1,Cardio,9,13/06/2022
Carried over,Player 1,Cardio,6,20/06/2022
Carried over,Player 1,Cardio,6,17/06/2022
Carried over,Player 1,Cardio,6,16/06/2022
Carried over,Player 1,Cardio,6,15/06/2022
Actual,Player 1,Cardio,6,14/06/2022
Actual,Player 1,Cardio,7,21/06/2022
Actual,Player 1,Cardio,4,22/06/2022
Actual,Player 1,Cardio,10,23/06/2022
Actual,Player 1,Cardio,6,24/06/2022
Actual,Player 1,Cardio,7,27/06/2022
Actual,Player 1,Cardio,9,28/06/2022
Carried over,Player 1,Cardio,8,30/06/2022
Actual,Player 1,Cardio,8,29/06/2022
Carried over,Player 1,Cardio,6,4/7/2022
Actual,Player 1,Cardio,6,1/7/2022
Actual,Player 1,Cardio,8,5/7/2022
Carried over,Player 1,Cardio,8,7/7/2022
Actual,Player 1,Cardio,8,6/7/2022
Actual,Player 1,Cardio,10,8/7/2022
Carried over,Player 1,Cardio,5,12/7/2022
Actual,Player 1,Cardio,5,11/7/2022
Actual,Player 1,Cardio,9,13/07/2022
Carried over,Player 1,Cardio,7,15/07/2022
Actual,Player 1,Cardio,7,14/07/2022
Actual,Player 1,Cardio,3,18/07/2022
Actual,Player 1,Cardio,8,19/07/2022
Actual,Player 1,Cardio,6,20/07/2022
Actual,Player 1,Cardio,9,21/07/2022
Actual,Player 1,Cardio,8,22/07/2022
Carried over,Player 1,Cardio,8,27/07/2022
Carried over,Player 1,Cardio,8,26/07/2022
Actual,Player 1,Cardio,8,25/07/2022
Actual,Player 11,Agility,10,3/1/2022
Actual,Player 11,Agility,6,4/1/2022
Carried over,Player 11,Agility,9,6/1/2022
Actual,Player 11,Agility,9,5/1/2022
Actual,Player 11,Agility,9,7/1/2022
Actual,Player 11,Agility,3,10/1/2022
Carried over,Player 11,Agility,6,12/1/2022
Actual,Player 11,Agility,6,11/1/2022
Carried over,Player 11,Agility,9,14/01/2022
Actual,Player 11,Agility,9,13/01/2022
Actual,Player 11,Agility,5,17/01/2022
Carried over,Player 11,Agility,5,19/01/2022
Actual,Player 11,Agility,5,18/01/2022
Carried over,Player 11,Agility,7,21/01/2022
Actual,Player 11,Agility,7,20/01/2022
Carried over,Player 11,Agility,7,25/01/2022
Actual,Player 11,Agility,7,24/01/2022
Carried over,Player 11,Agility,3,27/01/2022
Actual,Player 11,Agility,3,26/01/2022
Carried over,Player 11,Agility,8,31/01/2022
Actual,Player 11,Agility,8,28/01/2022
Carried over,Player 11,Agility,9,4/2/2022
Carried over,Player 11,Agility,9,3/2/2022
Carried over,Player 11,Agility,9,2/2/2022
Actual,Player 11,Agility,9,1/2/2022
Carried over,Player 11,Agility,5,8/2/2022
Actual,Player 11,Agility,5,7/2/2022
Actual,Player 11,Agility,8,9/2/2022
Actual,Player 11,Agility,5,10/2/2022
Actual,Player 11,Agility,9,11/2/2022
Actual,Player 11,Agility,6,14/02/2022
Carried over,Player 11,Agility,9,16/02/2022
Actual,Player 11,Agility,9,15/02/2022
Actual,Player 11,Agility,6,17/02/2022
Actual,Player 11,Agility,3,18/02/2022
Carried over,Player 11,Agility,4,23/02/2022
Carried over,Player 11,Agility,4,22/02/2022
Actual,Player 11,Agility,4,21/02/2022
Actual,Player 11,Agility,7,24/02/2022
Actual,Player 11,Agility,7,25/02/2022
Actual,Player 11,Agility,3,28/02/2022
Actual,Player 11,Agility,4,1/3/2022
Carried over,Player 11,Agility,9,3/3/2022
Actual,Player 11,Agility,9,2/3/2022
Actual,Player 11,Agility,8,4/3/2022
Carried over,Player 11,Agility,9,8/3/2022
Actual,Player 11,Agility,9,7/3/2022
Actual,Player 11,Agility,3,9/3/2022
Actual,Player 11,Agility,7,10/3/2022
Actual,Player 11,Agility,8,11/3/2022
Actual,Player 11,Agility,6,14/03/2022
Carried over,Player 11,Agility,7,16/03/2022
Actual,Player 11,Agility,7,15/03/2022
Actual,Player 11,Agility,5,17/03/2022
Actual,Player 11,Agility,7,18/03/2022
Carried over,Player 11,Agility,6,22/03/2022
Actual,Player 11,Agility,6,21/03/2022
Actual,Player 11,Agility,7,23/03/2022
Actual,Player 11,Agility,9,24/03/2022
Actual,Player 11,Agility,5,25/03/2022
Actual,Player 11,Agility,7,28/03/2022
Carried over,Player 11,Agility,10,31/03/2022
Carried over,Player 11,Agility,10,30/03/2022
Actual,Player 11,Agility,10,29/03/2022
Actual,Player 11,Agility,8,1/4/2022
Actual,Player 11,Agility,5,4/4/2022
Carried over,Player 11,Agility,7,6/4/2022
Actual,Player 11,Agility,7,5/4/2022
Actual,Player 11,Agility,3,7/4/2022
Actual,Player 11,Agility,10,8/4/2022
Actual,Player 11,Agility,8,11/4/2022
Actual,Player 11,Agility,7,12/4/2022
Carried over,Player 11,Agility,6,14/04/2022
Actual,Player 11,Agility,6,13/04/2022
Actual,Player 11,Agility,8,15/04/2022
Actual,Player 11,Agility,8,18/04/2022
Actual,Player 11,Agility,4,19/04/2022
Actual,Player 11,Agility,9,20/04/2022
Actual,Player 11,Agility,10,21/04/2022
Actual,Player 11,Agility,8,22/04/2022
Actual,Player 11,Agility,8,25/04/2022
Carried over,Player 11,Agility,9,27/04/2022
Actual,Player 11,Agility,9,26/04/2022
Actual,Player 11,Agility,3,28/04/2022
Actual,Player 11,Agility,4,29/04/2022
Actual,Player 11,Agility,8,2/5/2022
Actual,Player 11,Agility,9,3/5/2022
Actual,Player 11,Agility,5,4/5/2022
Carried over,Player 11,Agility,4,6/5/2022
Actual,Player 11,Agility,4,5/5/2022
Actual,Player 11,Agility,4,9/5/2022
Carried over,Player 11,Agility,6,11/5/2022
Actual,Player 11,Agility,6,10/5/2022
Actual,Player 11,Agility,3,12/5/2022
Actual,Player 11,Agility,8,13/05/2022
Actual,Player 11,Agility,3,16/05/2022
Actual,Player 11,Agility,10,17/05/2022
Actual,Player 11,Agility,10,18/05/2022
Actual,Player 11,Agility,3,19/05/2022
Actual,Player 11,Agility,9,20/05/2022
Actual,Player 11,Agility,6,23/05/2022
Actual,Player 11,Agility,9,24/05/2022
Actual,Player 11,Agility,10,25/05/2022
Carried over,Player 11,Agility,4,30/05/2022
Carried over,Player 11,Agility,4,27/05/2022
Actual,Player 11,Agility,4,26/05/2022
Actual,Player 11,Agility,6,31/05/2022
Actual,Player 11,Agility,4,1/6/2022
Carried over,Player 11,Agility,8,3/6/2022
Actual,Player 11,Agility,8,2/6/2022
Actual,Player 11,Agility,9,6/6/2022
Actual,Player 11,Agility,5,7/6/2022
Carried over,Player 11,Agility,9,9/6/2022
Actual,Player 11,Agility,9,8/6/2022
Actual,Player 11,Agility,7,10/6/2022
Actual,Player 11,Agility,3,13/06/2022
Actual,Player 11,Agility,6,14/06/2022
Carried over,Player 11,Agility,3,16/06/2022
Actual,Player 11,Agility,3,15/06/2022
Carried over,Player 11,Agility,3,20/06/2022
Actual,Player 11,Agility,3,17/06/2022
Carried over,Player 11,Agility,5,22/06/2022
Actual,Player 11,Agility,5,21/06/2022
Actual,Player 11,Agility,4,23/06/2022
Carried over,Player 11,Agility,10,27/06/2022
Actual,Player 11,Agility,10,24/06/2022
Actual,Player 11,Agility,3,28/06/2022
Carried over,Player 11,Agility,4,1/7/2022
Carried over,Player 11,Agility,4,30/06/2022
Actual,Player 11,Agility,4,29/06/2022
Actual,Player 11,Agility,10,4/7/2022
Carried over,Player 11,Agility,10,6/7/2022
Actual,Player 11,Agility,10,5/7/2022
Actual,Player 11,Agility,4,7/7/2022
Actual,Player 11,Agility,5,8/7/2022
Actual,Player 11,Agility,5,11/7/2022
Carried over,Player 11,Agility,8,13/07/2022
Actual,Player 11,Agility,8,12/7/2022
Actual,Player 11,Agility,4,14/07/2022
Actual,Player 11,Agility,7,15/07/2022
Carried over,Player 11,Agility,4,19/07/2022
Actual,Player 11,Agility,4,18/07/2022
Carried over,Player 11,Agility,6,22/07/2022
Carried over,Player 11,Agility,6,21/07/2022
Actual,Player 11,Agility,6,20/07/2022
Carried over,Player 11,Agility,8,28/07/2022
Carried over,Player 11,Agility,8,27/07/2022
Carried over,Player 11,Agility,8,26/07/2022
Actual,Player 11,Agility,8,25/07/2022
Carried over,Player 14,Agility,5,4/1/2022
Actual,Player 14,Agility,5,3/1/2022
Carried over,Player 14,Agility,8,11/1/2022
Carried over,Player 14,Agility,8,10/1/2022
Carried over,Player 14,Agility,8,7/1/2022
Carried over,Player 14,Agility,8,6/1/2022
Actual,Player 14,Agility,8,5/1/2022
Actual,Player 14,Agility,10,12/1/2022
Actual,Player 14,Agility,8,13/01/2022
Carried over,Player 14,Agility,8,18/01/2022
Carried over,Player 14,Agility,8,17/01/2022
Actual,Player 14,Agility,8,14/01/2022
Actual,Player 14,Agility,10,19/01/2022
Carried over,Player 14,Agility,4,21/01/2022
Actual,Player 14,Agility,4,20/01/2022
Actual,Player 14,Agility,8,24/01/2022
Actual,Player 14,Agility,8,25/01/2022
Actual,Player 14,Agility,7,26/01/2022
Actual,Player 14,Agility,9,27/01/2022
Actual,Player 14,Agility,5,28/01/2022
Carried over,Player 14,Agility,5,1/2/2022
Actual,Player 9,Strength Building,4,3/1/2022
Carried over,Player 9,Strength Building,9,5/1/2022
Actual,Player 9,Strength Building,9,4/1/2022
Actual,Player 9,Strength Building,10,6/1/2022
Carried over,Player 9,Strength Building,3,13/01/2022
Carried over,Player 9,Strength Building,3,12/1/2022
Carried over,Player 9,Strength Building,3,11/1/2022
Carried over,Player 9,Strength Building,3,10/1/2022
Actual,Player 9,Strength Building,3,7/1/2022
Actual,Player 9,Strength Building,10,14/01/2022
Actual,Player 9,Strength Building,3,17/01/2022
Actual,Player 9,Strength Building,10,18/01/2022
Actual,Player 9,Strength Building,3,19/01/2022
Actual,Player 9,Strength Building,6,20/01/2022
Carried over,Player 9,Strength Building,7,24/01/2022
Actual,Player 9,Strength Building,7,21/01/2022
Actual,Player 9,Strength Building,8,25/01/2022
Actual,Player 9,Strength Building,6,26/01/2022
Actual,Player 9,Strength Building,6,27/01/2022
Actual,Player 9,Strength Building,3,28/01/2022
Actual,Player 9,Strength Building,7,31/01/2022
Carried over,Player 9,Strength Building,6,2/2/2022
Actual,Player 9,Strength Building,6,1/2/2022
Actual,Player 9,Strength Building,7,3/2/2022
Actual,Player 9,Strength Building,10,4/2/2022
Actual,Player 9,Strength Building,7,7/2/2022
Actual,Player 9,Strength Building,9,8/2/2022
Actual,Player 9,Strength Building,4,9/2/2022
Actual,Player 9,Strength Building,3,10/2/2022
Carried over,Player 9,Strength Building,9,15/02/2022
Carried over,Player 9,Strength Building,9,14/02/2022
Actual,Player 9,Strength Building,9,11/2/2022
Actual,Player 9,Strength Building,8,16/02/2022
Carried over,Player 9,Strength Building,8,18/02/2022
Actual,Player 9,Strength Building,8,17/02/2022
Actual,Player 9,Strength Building,3,21/02/2022
Actual,Player 9,Strength Building,8,22/02/2022
Actual,Player 9,Strength Building,8,23/02/2022
Carried over,Player 9,Strength Building,7,28/02/2022
Carried over,Player 9,Strength Building,7,25/02/2022
Actual,Player 9,Strength Building,7,24/02/2022
Actual,Player 9,Strength Building,5,1/3/2022
Carried over,Player 9,Strength Building,7,4/3/2022
Carried over,Player 9,Strength Building,7,3/3/2022
Actual,Player 9,Strength Building,7,2/3/2022
Carried over,Player 9,Strength Building,9,8/3/2022
Actual,Player 9,Strength Building,9,7/3/2022
Actual,Player 9,Strength Building,7,9/3/2022
Actual,Player 9,Strength Building,3,10/3/2022
Actual,Player 9,Strength Building,10,11/3/2022
Carried over,Player 9,Strength Building,6,15/03/2022
Actual,Player 9,Strength Building,6,14/03/2022
Carried over,Player 9,Strength Building,4,17/03/2022
Actual,Player 9,Strength Building,4,16/03/2022
Actual,Player 9,Strength Building,7,18/03/2022
Actual,Player 9,Strength Building,7,21/03/2022
Actual,Player 9,Strength Building,4,22/03/2022
Carried over,Player 9,Strength Building,5,24/03/2022
Actual,Player 9,Strength Building,5,23/03/2022
Carried over,Player 9,Strength Building,6,28/03/2022
Actual,Player 9,Strength Building,6,25/03/2022
Carried over,Player 9,Strength Building,10,31/03/2022
Carried over,Player 9,Strength Building,10,30/03/2022
Actual,Player 9,Strength Building,10,29/03/2022
Actual,Player 9,Strength Building,9,1/4/2022
Actual,Player 9,Strength Building,8,4/4/2022
Actual,Player 9,Strength Building,9,5/4/2022
Carried over,Player 9,Strength Building,5,7/4/2022
Actual,Player 9,Strength Building,5,6/4/2022
Actual,Player 9,Strength Building,5,8/4/2022
Actual,Player 9,Strength Building,4,11/4/2022
Actual,Player 9,Strength Building,6,12/4/2022
Carried over,Player 9,Strength Building,5,14/04/2022
Actual,Player 9,Strength Building,5,13/04/2022
Carried over,Player 9,Strength Building,5,18/04/2022
Actual,Player 9,Strength Building,5,15/04/2022
Actual,Player 9,Strength Building,6,19/04/2022
Carried over,Player 9,Strength Building,6,21/04/2022
Actual,Player 9,Strength Building,6,20/04/2022
Actual,Player 9,Strength Building,8,22/04/2022
Actual,Player 9,Strength Building,4,25/04/2022
Carried over,Player 9,Strength Building,6,2/5/2022
Carried over,Player 9,Strength Building,6,29/04/2022
Carried over,Player 9,Strength Building,6,28/04/2022
Carried over,Player 9,Strength Building,6,27/04/2022
Actual,Player 9,Strength Building,6,26/04/2022
Actual,Player 9,Strength Building,9,3/5/2022
Actual,Player 9,Strength Building,5,4/5/2022
Actual,Player 9,Strength Building,10,5/5/2022
Actual,Player 9,Strength Building,6,6/5/2022
Actual,Player 9,Strength Building,8,9/5/2022
Actual,Player 9,Strength Building,4,10/5/2022
Actual,Player 9,Strength Building,9,11/5/2022
Carried over,Player 9,Strength Building,7,13/05/2022
Actual,Player 9,Strength Building,7,12/5/2022
Carried over,Player 9,Strength Building,4,17/05/2022
Actual,Player 9,Strength Building,4,16/05/2022
Actual,Player 9,Strength Building,9,18/05/2022
Actual,Player 9,Strength Building,7,19/05/2022
Actual,Player 9,Strength Building,8,20/05/2022
Actual,Player 9,Strength Building,7,23/05/2022
Actual,Player 9,Strength Building,7,24/05/2022
Actual,Player 9,Strength Building,3,25/05/2022
Carried over,Player 9,Strength Building,7,27/05/2022
Actual,Player 9,Strength Building,7,26/05/2022
Carried over,Player 9,Strength Building,7,31/05/2022
Actual,Player 9,Strength Building,7,30/05/2022
Carried over,Player 9,Strength Building,9,2/6/2022
Actual,Player 9,Strength Building,9,1/6/2022
Carried over,Player 9,Strength Building,6,6/6/2022
Actual,Player 9,Strength Building,6,3/6/2022
Actual,Player 9,Strength Building,7,7/6/2022
Carried over,Player 9,Strength Building,7,9/6/2022
Actual,Player 9,Strength Building,7,8/6/2022
Actual,Player 9,Strength Building,5,10/6/2022
Actual,Player 9,Strength Building,4,13/06/2022
Actual,Player 9,Strength Building,6,14/06/2022
Actual,Player 9,Strength Building,7,15/06/2022
Actual,Player 9,Strength Building,5,16/06/2022
Actual,Player 9,Strength Building,10,17/06/2022
Actual,Player 9,Strength Building,4,20/06/2022
Actual,Player 9,Strength Building,3,21/06/2022
Actual,Player 9,Strength Building,4,22/06/2022
Actual,Player 9,Strength Building,8,23/06/2022
Carried over,Player 9,Strength Building,5,27/06/2022
Actual,Player 9,Strength Building,5,24/06/2022
Carried over,Player 9,Strength Building,5,1/7/2022
Carried over,Player 9,Strength Building,5,30/06/2022
Carried over,Player 9,Strength Building,5,29/06/2022
Actual,Player 9,Strength Building,5,28/06/2022
Actual,Player 9,Strength Building,6,4/7/2022
Actual,Player 9,Strength Building,6,5/7/2022
Actual,Player 9,Strength Building,10,6/7/2022
Actual,Player 9,Strength Building,6,7/7/2022
Carried over,Player 9,Strength Building,3,11/7/2022
Actual,Player 9,Strength Building,3,8/7/2022
Actual,Player 9,Strength Building,6,12/7/2022
Actual,Player 9,Strength Building,7,13/07/2022
Actual,Player 9,Strength Building,6,14/07/2022
Carried over,Player 9,Strength Building,4,21/07/2022
Carried over,Player 9,Strength Building,4,20/07/2022
Carried over,Player 9,Strength Building,4,19/07/2022
Carried over,Player 9,Strength Building,4,18/07/2022
Actual,Player 9,Strength Building,4,15/07/2022
Actual,Player 9,Strength Building,7,22/07/2022
Carried over,Player 9,Strength Building,7,26/07/2022
Actual,Player 9,Strength Building,7,25/07/2022
Actual,Player 9,Strength Building,5,27/07/2022
Actual,Player 9,Strength Building,8,28/07/2022
Actual,Player 5,Agility,5,3/1/2022
Actual,Player 5,Agility,7,4/1/2022
Carried over,Player 5,Agility,4,6/1/2022
Actual,Player 5,Agility,4,5/1/2022
Carried over,Player 5,Agility,8,11/1/2022
Carried over,Player 5,Agility,8,10/1/2022
Actual,Player 5,Agility,8,7/1/2022
Carried over,Player 5,Agility,7,13/01/2022
Actual,Player 5,Agility,7,12/1/2022
Actual,Player 5,Agility,10,14/01/2022
Carried over,Player 5,Agility,9,18/01/2022
Actual,Player 5,Agility,9,17/01/2022
Actual,Player 5,Agility,6,19/01/2022
Actual,Player 5,Agility,7,20/01/2022
Actual,Player 5,Agility,10,21/01/2022
Carried over,Player 5,Agility,5,25/01/2022
Actual,Player 5,Agility,5,24/01/2022
Carried over,Player 5,Agility,4,27/01/2022
Actual,Player 5,Agility,4,26/01/2022
Actual,Player 5,Agility,10,28/01/2022
Actual,Player 5,Agility,7,31/01/2022
Actual,Player 5,Agility,8,1/2/2022
Actual,Player 5,Agility,4,2/2/2022
Actual,Player 5,Agility,3,3/2/2022
Actual,Player 5,Agility,8,4/2/2022
Actual,Player 5,Agility,5,7/2/2022
Carried over,Player 5,Agility,3,9/2/2022
Actual,Player 5,Agility,3,8/2/2022
Actual,Player 5,Agility,4,10/2/2022
Actual,Player 5,Agility,8,11/2/2022
Actual,Player 5,Agility,6,14/02/2022
Actual,Player 5,Agility,8,15/02/2022
Carried over,Player 5,Agility,8,18/02/2022
Carried over,Player 5,Agility,8,17/02/2022
Actual,Player 5,Agility,8,16/02/2022
Actual,Player 5,Agility,3,21/02/2022
Carried over,Player 5,Agility,8,23/02/2022
Actual,Player 5,Agility,8,22/02/2022
Actual,Player 5,Agility,8,24/02/2022
Actual,Player 5,Agility,3,25/02/2022
Actual,Player 5,Agility,9,28/02/2022
Actual,Player 5,Agility,3,1/3/2022
Carried over,Player 5,Agility,10,3/3/2022
Actual,Player 5,Agility,10,2/3/2022
Carried over,Player 5,Agility,7,7/3/2022
Actual,Player 5,Agility,7,4/3/2022
Carried over,Player 5,Agility,3,10/3/2022
Carried over,Player 5,Agility,3,9/3/2022
Actual,Player 5,Agility,3,8/3/2022
Actual,Player 5,Agility,4,11/3/2022
Carried over,Player 5,Agility,3,15/03/2022
Actual,Player 5,Agility,3,14/03/2022
Actual,Player 5,Agility,9,16/03/2022
Actual,Player 5,Agility,7,17/03/2022
Carried over,Player 5,Agility,10,21/03/2022
Actual,Player 5,Agility,10,18/03/2022
Actual,Player 5,Agility,7,22/03/2022
Actual,Player 5,Agility,5,23/03/2022
Actual,Player 5,Agility,8,24/03/2022
Actual,Player 5,Agility,10,25/03/2022
Actual,Player 5,Agility,8,28/03/2022
Actual,Player 5,Agility,9,29/03/2022
Carried over,Player 5,Agility,6,31/03/2022
Actual,Player 5,Agility,6,30/03/2022
Actual,Player 5,Agility,10,1/4/2022
Carried over,Player 5,Agility,9,7/4/2022
Carried over,Player 5,Agility,9,6/4/2022
Carried over,Player 5,Agility,9,5/4/2022
Actual,Player 5,Agility,9,4/4/2022
Actual,Player 5,Agility,4,8/4/2022
Actual,Player 5,Agility,9,11/4/2022
Actual,Player 5,Agility,10,12/4/2022
Actual,Player 5,Agility,9,13/04/2022
Actual,Player 5,Agility,10,14/04/2022
Actual,Player 5,Agility,10,15/04/2022
Actual,Player 5,Agility,8,18/04/2022
Actual,Player 5,Agility,10,19/04/2022
Actual,Player 5,Agility,8,20/04/2022
Actual,Player 5,Agility,10,21/04/2022
Actual,Player 5,Agility,6,22/04/2022
Actual,Player 5,Agility,9,25/04/2022
Carried over,Player 5,Agility,7,27/04/2022
Actual,Player 5,Agility,7,26/04/2022
Actual,Player 5,Agility,10,28/04/2022
Actual,Player 5,Agility,7,29/04/2022
Actual,Player 5,Agility,10,2/5/2022
Carried over,Player 5,Agility,9,5/5/2022
Carried over,Player 5,Agility,9,4/5/2022
Actual,Player 5,Agility,9,3/5/2022
Carried over,Player 5,Agility,8,10/5/2022
Carried over,Player 5,Agility,8,9/5/2022
Actual,Player 5,Agility,8,6/5/2022
Actual,Player 5,Agility,3,11/5/2022
Actual,Player 5,Agility,3,12/5/2022
Carried over,Player 5,Agility,4,16/05/2022
Actual,Player 5,Agility,4,13/05/2022
Actual,Player 5,Agility,10,17/05/2022
Actual,Player 5,Agility,9,18/05/2022
Carried over,Player 5,Agility,8,23/05/2022
Carried over,Player 5,Agility,8,20/05/2022
Actual,Player 5,Agility,8,19/05/2022
Carried over,Player 5,Agility,8,25/05/2022
Actual,Player 5,Agility,8,24/05/2022
Carried over,Player 5,Agility,9,27/05/2022
Actual,Player 5,Agility,9,26/05/2022
Actual,Player 5,Agility,9,30/05/2022
Actual,Player 5,Agility,8,31/05/2022
Actual,Player 5,Agility,5,1/6/2022
Actual,Player 5,Agility,4,2/6/2022
Carried over,Player 5,Agility,5,6/6/2022
Actual,Player 5,Agility,5,3/6/2022
Carried over,Player 5,Agility,10,8/6/2022
Actual,Player 5,Agility,10,7/6/2022
Carried over,Player 5,Agility,7,10/6/2022
Actual,Player 5,Agility,7,9/6/2022
Actual,Player 5,Agility,5,13/06/2022
Actual,Player 5,Agility,10,14/06/2022
Actual,Player 5,Agility,3,15/06/2022
Actual,Player 5,Agility,3,16/06/2022
Actual,Player 5,Agility,8,17/06/2022
Carried over,Player 5,Agility,6,21/06/2022
Actual,Player 5,Agility,6,20/06/2022
Actual,Player 5,Agility,9,22/06/2022
Carried over,Player 5,Agility,7,28/06/2022
Carried over,Player 5,Agility,7,27/06/2022
Carried over,Player 5,Agility,7,24/06/2022
Actual,Player 5,Agility,7,23/06/2022
Actual,Player 5,Agility,4,29/06/2022
Actual,Player 5,Agility,8,30/06/2022
Actual,Player 5,Agility,5,1/7/2022
Carried over,Player 5,Agility,5,6/7/2022
Carried over,Player 5,Agility,5,5/7/2022
Actual,Player 5,Agility,5,4/7/2022
Carried over,Player 5,Agility,9,8/7/2022
Actual,Player 5,Agility,9,7/7/2022
Carried over,Player 5,Agility,5,12/7/2022
Actual,Player 5,Agility,5,11/7/2022
Carried over,Player 5,Agility,3,14/07/2022
