Total Ticket Price,Ticket Price Variance to Meal Deal Earnings,Total Meal Deal Earnings,Total Excess,TicketID,MemberID
16.5,0.25,10,6.25,210603,0
19.5,0.25,5,14.25,302696,0
17.5,-0.17,5,12.67,104187,0
7.5,0.25,5,2.25,101647,0
20.5,-2,15,7.5,100130,992952
13,1.67,5,6.33,324419,0
19,3.5,10,5.5,331327,991010
22,-4,10,16,223000,996594
21,0.33,5,15.67,201164,0
20,-1.5,5,16.5,301802,0
21.5,4.62,15,1.88,107280,0
7,2,5,0,125731,0
20,0.25,5,14.75,226312,998522
27.5,-7.1,5,29.6,108013,0
9,1,5,3,204965,0
10.5,-0.75,5,6.25,325148,991508
12.5,-0.75,5,8.25,227866,0
15.5,0.75,5,9.75,109717,0
32.5,-14.87,10,37.37,112633,991427
12,2,5,5,127191,0
17.5,-1.67,5,14.17,130518,998185
12,0,5,7,225565,0
16,2,5,9,211793,0
10.5,1.25,5,4.25,229846,0
13,3,10,0,209311,990428
24.5,-18.13,5,37.63,202932,0
29,-7,15,21,214496,999143
11,1.5,5,4.5,229016,0
24,-16.25,5,35.25,213515,0
20.5,-1,10,11.5,202062,0
14,2.67,10,1.33,208672,0
28,-6.75,10,24.75,131078,0
12.5,2.5,10,0,307424,0
11,0.5,5,5.5,323293,0
10.5,1.08,5,4.42,221958,0
15.5,-1.83,5,12.33,324905,0
18,3.33,10,4.67,107000,0
14,0,10,4,307270,999438
26,-3,5,24,314309,0
38,-8.58,10,36.58,325226,991118
22.5,0.1,5,17.4,129977,994175
11.5,-2.17,5,8.67,307094,0
12.5,-6.75,5,14.25,112755,0
8.5,0.17,5,3.33,105366,0
23,-6.67,5,24.67,115542,0
26,-6.5,10,22.5,324011,0
29.5,-11.67,15,26.17,306665,0
22,-5.6,10,17.6,122463,0
16.5,-0.25,10,6.75,120994,0
21,-0.2,10,11.2,213660,0
14.5,1.17,5,8.33,116139,0
30.5,-3,15,18.5,127040,0
20,-16.5,5,31.5,112646,993314
31,-6,10,27,310554,0
13,-0.33,5,8.33,312384,0
15.5,0.42,10,5.08,209598,0
15,1.75,5,8.25,304878,0
14.5,-5.83,5,15.33,209058,993450
17,1,5,11,203356,0
29,-0.75,15,14.75,301058,0
23,-5.96,5,23.96,201086,995012
20,5,15,0,211910,0
21.5,-7.46,5,23.96,101784,0
20,0.67,10,9.33,222715,0
35.5,-29.5,5,60,129863,0
29.5,-0.45,10,19.95,127577,991278
20,-5.67,5,20.67,323352,994641
13.5,-2.25,5,10.75,229697,0
12,2,10,0,330481,999416
15,0.5,5,9.5,301391,990943
18,2.67,10,5.33,304273,0
12,2.17,5,4.83,124494,0
21,-1.6,5,17.6,202787,0
23,-7.5,10,20.5,314680,0
17.5,3.17,10,4.33,315207,0
25.5,-0.75,15,11.25,213219,0
17.5,2.67,10,4.83,212060,994538
17.5,1.21,5,11.29,314233,0
16,3.17,10,2.83,202085,0
14,2,10,2,122595,0
10.5,2,5,3.5,216485,0
21.5,0.62,10,10.88,202522,0
14,4,10,0,101337,0
10,1.25,5,3.75,127433,991033
19.5,-0.25,10,9.75,204942,0
15.5,1.25,5,9.25,327794,0
12.5,0.5,5,7,115991,0
22.5,-6.5,5,24,328205,0
13,-1.5,5,9.5,229043,0
18,-1,5,14,325743,0
11,1,10,0,207753,0
17,2.5,10,4.5,212359,0
28.5,-1.96,15,15.46,105731,999464
27,-6.67,15,18.67,326893,0
9.5,1.25,5,3.25,111031,0
19,1.25,10,7.75,204386,0
20.5,1.83,10,8.67,304722,0
18.5,-1.25,5,14.75,322275,0
21,2.67,10,8.33,226121,0
14,2.33,5,6.67,323863,0
29,-0.5,15,14.5,330613,0
15.5,-4.25,5,14.75,117394,0
11.5,-0.17,5,6.67,107974,0
14.5,-0.17,5,9.67,328944,0
9,2.5,5,1.5,223421,0
8.5,0.5,5,3,129412,0
20,-2,10,12,109123,0
20.5,-3.17,10,13.67,308446,0
20,2.42,10,7.58,122012,0
17.5,-3,5,15.5,321241,995600
5.5,0.5,5,0,215335,0
17.5,1,10,6.5,226740,0
11,1.5,5,4.5,128513,0
18,-2,5,15,304173,0
13,-1.25,5,9.25,203488,0
24.5,1.43,15,8.07,316146,0
11.5,1.33,5,5.17,219833,997351
23.5,-1.5,10,15,303279,0
19,-0.5,5,14.5,311809,0
11.5,1.75,5,4.75,210560,0
9.5,-1.5,5,6,126453,0
22,-0.75,15,7.75,104144,0
14.5,2,10,2.5,308897,0
30.5,-2.07,5,27.57,213087,0
19.5,-1.17,5,15.67,109758,0
14,1.5,10,2.5,304575,0
10.5,0,5,5.5,312686,0
17.5,-0.13,5,12.63,123293,0
28,-11.65,5,34.65,223535,0
39,4.47,25,9.53,229153,0
17.5,0,5,12.5,322417,0
34.5,0.95,10,23.55,221736,0
23.5,-2.58,5,21.08,305221,0
18,1.5,10,6.5,130795,0
20.5,-1.4,5,16.9,303057,0
9.5,0.75,5,3.75,309961,0
19.5,4.5,15,0,310324,0
28.5,3.7,20,4.8,207387,0
16.5,-2,5,13.5,218556,0
21,-1.25,5,17.25,210706,0
19.5,1.27,10,8.23,204784,0
14.5,1.33,5,8.17,114497,995433
27.5,-1.38,15,13.88,125157,0
16.5,-0.38,5,11.88,112963,993746
31,-28.67,5,54.67,213938,0
15.5,-3.17,5,13.67,316256,0
12,-1.67,5,8.67,223031,997964
28.5,-8.7,15,22.2,206190,993374
30.5,-12.75,5,38.25,318212,997181
5.5,0.5,5,0,312211,0
33.5,-1.15,15,19.65,112989,0
32,-4.67,10,26.67,308556,0
27.5,2.7,15,9.8,309430,0
9.5,0.75,5,3.75,306375,0
15.5,-0.17,5,10.67,303938,0
11,2.67,5,3.33,313105,0
21.5,-1.5,5,18,119028,0
25,-10,5,30,103741,0
13.5,1,5,7.5,225444,0
15.5,-0.5,5,11,319130,0
23,-4.67,10,17.67,109868,0
11.5,1.5,5,5,204175,0
15.5,-1.13,5,11.63,117504,0
14.5,2.33,5,7.17,324346,0
22,-2.1,5,19.1,314985,0
20,-3,5,18,117119,0
18.5,1.9,5,11.6,326530,0
10,0,5,5,309043,0
19,-0.5,10,9.5,107604,0
12.5,1,5,6.5,329058,0
21.5,-0.17,10,11.67,203021,0
13,2.5,5,5.5,309047,990070
9,1,5,3,201469,0
13,0.12,5,7.88,325263,0
33,-14.03,10,37.03,202367,0
20.5,-0.33,10,10.83,215106,0
16.5,1.25,5,10.25,221919,0
17.5,-6.25,5,18.75,317205,0
26,1,15,10,227627,0
15,1.83,5,8.17,200075,0
20.5,1.9,5,13.6,226513,0
30.5,0.6,20,9.9,216256,0
12.5,0.75,5,6.75,316311,0
22.5,1.5,10,11,126703,0
15,1.5,10,3.5,210330,0
27,-1.46,10,18.46,327959,0
37,-14.33,10,41.33,218443,0
9,0.33,5,3.67,203273,999731
16,-1.33,5,12.33,218932,0
15,-6,5,16,102668,994575
16.5,-1.5,10,8,114519,0
21,0,10,11,108252,0
21.5,-3.5,10,15,319149,999507
15.5,1,10,4.5,115123,990725
17,-2,5,14,211216,990171
22.5,-9.92,5,27.42,105039,0
22,-10,10,22,218038,0
22,-8.67,5,25.67,304456,0
10.5,0.75,5,4.75,207218,996700
25.5,3.62,15,6.88,222813,0
11,0.42,5,5.58,209767,0
10.5,1,5,4.5,312729,0
23.5,-2.58,5,21.08,226990,0
10,1.5,5,3.5,210623,991643
9,0.25,5,3.75,327630,997554
12,1.33,5,5.67,118404,993506
34.5,9.5,25,0,108889,0
12.5,-2,5,9.5,124392,0
10,0,10,0,127035,992490
18,-1.6,5,14.6,218296,0
32.5,-4.4,10,26.9,117252,0
15.5,0.5,10,5,107437,0
14.5,-0.5,5,10,303161,0
15,2,10,3,205415,0
15.5,-1.5,5,12,103108,0
19,1,10,8,300973,0
26,-3,5,24,105404,0
22,2.7,10,9.3,214091,0
15.5,-0.75,5,11.25,204532,0
21.5,-3,5,19.5,205978,0
16,0,5,11,307893,0
10,-3,5,8,102587,0
19,-3,5,17,100656,0
30,-8.88,10,28.88,201231,995335
17,0.5,10,6.5,206565,0
15,1.17,10,3.83,308791,0
13,-1,5,9,121866,0
29,-0.67,10,19.67,317795,0
9,1,5,3,326278,0
19.5,-1.17,5,15.67,213686,0
15,1.37,5,8.63,304836,0
16,-4,5,15,227544,0
13.5,1.5,5,7,123033,0
11,0.5,5,5.5,203915,0
22.5,0.63,10,11.87,304715,996618
9.5,0.75,5,3.75,118406,0
10,1.5,5,3.5,219458,0
28,5.33,20,2.67,321461,999844
21,-1.67,5,17.67,223828,0
19.5,1.87,5,12.63,201073,0
13,-1,5,9,221996,0
19.5,-1.5,5,16,328347,0
20.5,5.5,15,0,116859,0
32.5,-1.5,20,14,206174,997392
17,-1,5,13,327908,0
15.5,1.67,10,3.83,310576,0
12.5,2.5,10,0,300225,0
15.5,-0.17,10,5.67,203034,0
11.5,1,5,5.5,306384,0
18.5,1.62,5,11.88,205684,0
17.5,2.67,10,4.83,129662,0
25.5,-4.93,5,25.43,121828,0
21.5,-12.5,5,29,210298,0
20.5,-3,5,18.5,229174,0
12,1.67,5,5.33,130443,992131
10,1,5,4,117923,991629
18.5,-0.5,10,9,220371,0
9,1,5,3,204775,0
19.5,-2.5,10,12,115311,0
13.5,0.75,5,7.75,221759,0
10,-2.5,5,7.5,124791,0
38,-25.5,5,58.5,322971,0
9.5,0.75,5,3.75,329482,0
34.5,5.1,25,4.4,306863,0
26.5,-6.5,10,23,327152,995339
33.5,-6,10,29.5,220844,0
11,1.17,5,4.83,304552,0
7,2,5,0,320964,992024
14,0.75,5,8.25,119905,0
10.5,-1,5,6.5,225996,0
7,0.25,5,1.75,317967,0
17,0.33,5,11.67,102110,0
42.5,-33.08,10,65.58,111792,0
17.5,-2,5,14.5,326199,998464
23,-4.63,10,17.63,125581,0
20,-3,5,18,222402,0
23.5,-6.4,5,24.9,307673,0
23,-4.5,10,17.5,114120,0
16,1.83,10,4.17,303046,0
14,-1.5,5,10.5,300734,0
17.5,0.5,10,7,228276,0
27,4.67,20,2.33,320030,0
27.5,0.7,15,11.8,316279,0
24,-3.75,10,17.75,301371,0
26.5,3,15,8.5,326122,0
18,0.17,10,7.83,212042,0
15.5,1,5,9.5,316866,0
5.5,0.5,5,0,329538,0
7.5,0.5,5,2,204240,0
14,0.5,5,8.5,127822,0
12.5,2.25,5,5.25,100884,0
19.5,4.5,15,0,313166,0
20.5,-0.1,5,15.6,326050,0
22,1.67,10,10.33,102038,0
29,4.5,20,4.5,303098,999064
25.5,-6.17,10,21.67,111864,0
21,-11.5,10,22.5,323500,0
27,-14,10,31,107531,0
13,0,5,8,118178,0
21.5,-1.5,10,13,200540,0
24,2,10,12,217441,0
5,0,5,0,225464,990406
18.5,2.5,10,6,307670,996188
17.5,1,10,6.5,225924,0
18,-2.5,5,15.5,117024,0
20.5,-7.33,5,22.83,308206,0
10.5,0,5,5.5,305436,997488
13.5,0.83,5,7.67,228348,0
8.5,1.25,5,2.25,203647,993674
10.5,-2,5,7.5,104221,0
32.5,2.83,20,9.67,301836,0
18,-7,5,20,328581,996441
9,2,5,2,307601,0
20,3.17,10,6.83,302577,0
12,2,10,0,320086,0
15.5,-0.5,5,11,218126,996725
18,-1.67,5,14.67,309910,0
10,0,5,5,100459,0
13.5,1.67,5,6.83,227975,992812
14,2.17,5,6.83,318650,0
13,0.15,5,7.85,324696,0
8.5,0.5,5,3,121299,0
34.5,-3.92,20,18.42,129182,990121
36.5,2.6,20,13.9,228609,0
13,-1,5,9,129236,0
32.5,-1.88,15,19.38,318170,0
20,-1.7,5,16.7,129707,0
21.5,-0.1,5,16.6,123680,0
9,2,5,2,218881,0
17,-0.75,5,12.75,200126,0
25,1,20,4,122532,999668
30.5,-9.1,5,34.6,224623,0
33.5,4.5,20,9,320567,999123
6.5,0,5,1.5,101001,0
23,2.5,10,10.5,103913,997417
29,-11,5,35,320566,0
14.5,-3.42,5,12.92,304175,998273
26,0,15,11,117698,0
8.5,0,5,3.5,203215,0
28.5,2,15,11.5,328541,0
29,-4,15,18,105889,999983
33,0.57,20,12.43,324805,0
10.5,-1.5,5,7,304000,0
12,1.33,5,5.67,227139,990265
17,1.5,5,10.5,302444,0
31.5,-42.75,5,69.25,107670,0
13,3,10,0,304509,0
17,-0.67,5,12.67,324203,992239
8,-2,5,5,117052,998961
17.5,1.33,5,11.17,100598,0
31,-3,10,24,309233,0
14,1.5,5,7.5,128849,0
19,-0.75,10,9.75,119369,0
21.5,-3.23,5,19.73,114530,0
9,-2,5,6,110481,0
22,0.1,15,6.9,306181,0
13.5,1.33,5,7.17,316322,0
24.5,-7,5,26.5,312748,0
13,3,10,0,204594,0
15.5,-3.5,5,14,118838,0
9.5,0.75,5,3.75,301550,0
18,3,15,0,200887,0
12.5,1.75,5,5.75,215159,0
17.5,0.25,10,7.25,117181,0
11.5,0.83,5,5.67,218125,0
17,2.83,10,4.17,106855,0
19,-5.75,5,19.75,320440,0
24,-3.4,10,17.4,117130,996115
19,-7.5,5,21.5,225557,0
12.5,-0.17,5,7.67,111894,0
23.5,0.25,15,8.25,326862,0
18,2.4,10,5.6,323138,0
7.5,-1.5,5,4,127159,998443
15,-2,5,12,328223,992933
21,-3.7,10,14.7,323766,999038
16,2,10,4,212388,0
21,-0.4,5,16.4,203459,0
22.5,3.8,10,8.7,125739,0
36.5,-11.5,10,38,207317,0
11.5,1.5,10,0,121410,0
13,-1.25,5,9.25,309511,0
18.5,0.17,10,8.33,312992,0
13,0.62,5,7.38,300824,0
6,1,5,0,122100,997524
19.5,3.75,10,5.75,306059,0
9.5,-2.5,5,7,123553,994464
12.5,0.83,5,6.67,215300,0
10.5,1.25,5,4.25,323892,0
17.5,2.5,10,5,218738,0
18,-0.75,10,8.75,105972,0
16,1.5,10,4.5,302688,0
13.5,-3.5,5,12,124078,0
20.5,-2.33,5,17.83,213322,991238
17.5,-1,5,13.5,324427,0
23.5,-0.5,10,14,126420,992397
12,2,5,5,320418,990242
19.5,-3.5,5,18,120019,0
26,-10.17,10,26.17,304103,0
16.5,-15.5,5,27,212687,0
15.5,-3.5,5,14,302964,0
12.5,-0.75,5,8.25,208563,0
15,-0.25,10,5.25,114733,0
22,-1.5,5,18.5,104296,0
11.5,-0.5,5,7,322395,0
11.5,0.5,5,6,229946,0
29.5,-6.9,10,26.4,324770,996618
18,0,5,13,330445,0
23.5,-3,5,21.5,213479,0
6.5,-0.5,5,2,109563,0
36.5,-6.17,15,27.67,118231,0
17.5,-3.5,5,16,211133,0
16.5,1.1,5,10.4,130238,0
12,1.33,5,5.67,110599,993953
43,-20.5,10,53.5,114165,0
11,1.5,5,4.5,102805,0
18.5,0.42,10,8.08,203608,0
27.5,-11.4,5,33.9,307684,0
15.5,-8.5,5,19,324304,0
29.5,-2.5,10,22,100583,993029
12,0.25,5,6.75,311750,0
9.5,0.5,5,4,201914,990191
14,1.58,5,7.42,213912,0
38.5,-12.3,5,45.8,217364,0
11.5,-1,5,7.5,212031,0
29,-4.83,10,23.83,315764,993692
16.5,1.5,10,5,230599,0
20.5,-3.83,10,14.33,302468,0
8.5,1.25,5,2.25,215776,0
10,0,5,5,207409,0
18,1.83,10,6.17,126161,992724
18,-1.67,5,14.67,210744,0
17.5,-4.5,10,12,303099,0
16,-1.33,5,12.33,122715,0
35.5,-2,20,17.5,205641,0
27.5,-10.4,5,32.9,310755,995133
21.5,1.25,15,5.25,323545,0
19,-1.5,10,10.5,303976,0
28.5,-20.88,5,44.38,215881,999528
23.5,1.75,10,11.75,229131,0
8,-0.25,5,3.25,109830,0
33.5,6.25,25,2.25,217963,0
20.5,-3.04,5,18.54,323759,0
19,1,10,8,318648,990851
22,1,10,11,219113,0
28,-9.3,5,32.3,304550,991648
11,1,5,5,100251,0
22.5,-7.13,5,24.63,206926,0
23.5,-1.88,10,15.38,325202,0
16,-2.17,5,13.17,119136,994875
17.5,0.8,10,6.7,103980,990611
16,-0.67,5,11.67,317810,993095
16,-2,5,13,204986,0
11,-1.5,10,2.5,102255,0
9.5,-1.5,5,6,210123,0
10.5,1,5,4.5,223482,999157
19.5,1.17,10,8.33,330046,0
23.5,-0.63,10,14.13,109706,0
8,0.75,5,2.25,120272,0
23,-3.83,10,16.83,304742,0
25.5,0.04,10,15.46,104164,0
11,-1.5,5,7.5,106396,0
18,0.67,5,12.33,126910,0
24.5,-0.88,10,15.38,220514,0
16.5,0.96,5,10.54,323157,0
17.5,-3.17,5,15.67,312520,0
28.5,0.5,15,13,328249,0
23,-6.54,5,24.54,317889,0
7,2,5,0,107279,0
17,1.62,5,10.38,307735,0
17.5,1.29,5,11.21,321704,0
28,-11.65,5,34.65,113606,996090
31,-0.97,10,21.97,322602,0
37,-7.06,5,39.06,214678,0
20,-4.8,5,19.8,303844,0
18.5,-2.83,5,16.33,308458,0
25,-3.8,10,18.8,222094,0
19,-7.33,5,21.33,122939,0
29.5,-0.08,10,19.58,222579,0
15,0,5,10,219616,0
34,-0.53,15,19.53,320975,995249
23,3.83,15,4.17,210612,0
22.5,-15.5,5,33,128565,0
10.5,0.5,10,0,205880,0
24,-13.17,10,27.17,302430,990209
20,-0.17,15,5.17,314800,0
26,-1.1,10,17.1,114998,0
18.5,-2.65,5,16.15,103091,997327
22,3,15,4,101767,0
15.5,1.67,10,3.83,225685,0
17,-3,5,15,201531,0
14.5,0.87,5,8.63,329722,990435
11.5,0.92,5,5.58,315224,0
24.5,-3.5,10,18,324555,0
10,1,5,4,321599,0
20.5,-10,5,25.5,100613,0
12.5,-4.5,5,12,224412,0
14,-4.75,5,13.75,202812,0
17.5,2,10,5.5,326734,0
23,-7.17,5,25.17,127265,999008
18,-0.5,10,8.5,102392,0
5.5,0.5,5,0,218253,0
24,0,10,14,328366,0
17.5,0.5,10,7,109280,0
21,1,10,10,125067,991053
16.5,2.17,10,4.33,107416,0
17,0,10,7,117297,0
14,0.75,5,8.25,221066,0
15.5,1.87,5,8.63,227986,0
27.5,-5.43,5,27.93,217103,0
17.5,1.87,5,10.63,129501,996023
17,-4.67,5,16.67,317240,994232
17.5,2,10,5.5,329495,997753
7.5,0.5,5,2,322749,0
19,0.92,5,13.08,216953,0
19.5,-0.33,10,9.83,121919,0
24,3.67,15,5.33,125270,0
9,1.33,5,2.67,113772,0
16,1.2,10,4.8,325579,0
21.5,-0.5,5,17,324078,995166
11,2,5,4,218736,0
12.5,2.5,10,0,112878,0
9,-2,5,6,307981,990630
12.5,-0.75,5,8.25,103027,0
20,2,10,8,212390,0
19.5,0.5,10,9,300389,0
24,3,10,11,104177,0
24,-3.5,10,17.5,217686,996491
24,-13.67,5,32.67,230307,0
11.5,0.92,5,5.58,323136,0
18.5,-1,5,14.5,326193,0
14,1.5,10,2.5,325710,0
17,-8,5,20,126419,994303
21.5,1.17,15,5.33,310138,0
41,-12.57,10,43.57,106377,0
11,-1.5,5,7.5,125530,992484
43,-13.25,15,41.25,320442,0
33,-19,5,47,108573,0
8.5,1.5,5,2,214659,0
11,-1.5,5,7.5,312541,0
23,-3,10,16,115124,0
18.5,1.67,10,6.83,303857,0
11.5,1.5,10,0,310663,0
27.5,-7.29,5,29.79,217083,0
19.5,-1.5,5,16,213080,994238
31.5,-10.25,5,36.75,115568,995229
14,-0.5,10,4.5,314200,0
15.5,1.87,5,8.63,300826,0
24,0.37,10,13.63,213118,0
17,-4.5,10,11.5,206418,0
31,-1.33,15,17.33,210593,0
11.5,0.83,5,5.67,115659,0
13,1.33,5,6.67,116553,0
7.5,-0.75,5,3.25,225205,991211
11,1,5,5,224286,0
17.5,2.67,10,4.83,117427,0
20,-8,5,23,203603,0
14.5,3.17,10,1.33,216086,0
31.5,-1.67,15,18.17,306841,0
16.5,2.12,5,9.38,328638,0
37.5,-4,10,31.5,210252,0
16,-2.5,5,13.5,229729,998137
12,0.25,5,6.75,323538,0
24,-1,5,20,214382,0
9.5,-1.75,5,6.25,310281,993569
15,0.5,10,4.5,216681,0
17.5,-2,5,14.5,101215,991601
13,1.6,5,6.4,219830,992643
12,2,5,5,326563,0
15.5,2.67,10,2.83,311938,996650
19.5,-1.67,5,16.17,320725,0
9.5,1.5,5,3,208071,0
11,1,5,5,224652,0
25,-3,5,23,112377,0
37,-7.5,15,29.5,316225,0
17,2.1,5,9.9,209358,0
15,-1,10,6,304382,995091
12.5,2.25,5,5.25,208568,0
12.5,1,5,6.5,308112,0
23,2.62,15,5.38,212555,0
14,-3,5,12,329532,0
20,-0.13,10,10.13,122159,0
15.5,-0.25,5,10.75,308589,0
16,1,10,5,127311,0
10,1,5,4,303052,997420
23.5,-3.5,5,22,324432,993783
15.5,1,10,4.5,300680,0
21,1,20,0,206784,0
7,-0.25,5,2.25,326216,996202
19.5,-1.38,10,10.88,306406,0
17.5,-0.5,10,8,318469,990423
31,-1.33,10,22.33,217952,0
28,-0.33,5,23.33,221302,0
27,-7,10,24,213484,0
15.5,3,10,2.5,202409,0
24.5,-6.83,10,21.33,113411,0
32.5,-5,15,22.5,228735,0
8,1.5,5,1.5,328710,997750
8.5,-4,5,7.5,204753,0
21,0.87,10,10.13,113975,0
25.5,-3.3,10,18.8,215000,0
20.5,-6.5,5,22,304936,0
8,0,5,3,110797,0
8,-1,5,4,127993,0
8,3,5,0,305874,0
20.5,-0.13,5,15.63,322022,0
31,3.6,15,12.4,108870,0
8.5,1.75,5,1.75,211999,996627
18,1.75,5,11.25,305201,994766
25,-6.23,5,26.23,223687,0
37,-10.6,15,32.6,103893,0
25.5,-2.1,15,12.6,215133,0
11,0,5,6,316397,999953
22.5,-7.5,5,25,328567,0
11,1.33,5,4.67,230405,0
5.5,-1,5,1.5,210938,0
16,1.37,5,9.63,112176,0
25.5,-2,10,17.5,301508,0
21,-6.13,5,22.13,209159,0
24,1.2,10,12.8,122425,996191
22.5,2.13,10,10.37,208497,0
24,-7,5,26,213391,999463
9,2,5,2,101921,0
11.5,1.5,5,5,229632,992713
21.5,-3,5,19.5,124407,0
15,2,5,8,219076,998564
17.5,2.83,10,4.67,114504,0
15,2.5,5,7.5,318192,0
11.5,-0.5,5,7,201759,0
11,-2,5,8,313468,0
20,0.25,10,9.75,124107,991118
26,0.08,10,15.92,127366,0
24.5,2,10,12.5,115757,996145
21.5,6.5,15,0,206601,0
10,-0.5,5,5.5,127172,995585
20.5,-5.13,5,20.63,106194,0
11.5,1.33,5,5.17,218025,0
20.5,-1,5,16.5,319090,0
18,1.83,10,6.17,327656,0
27,-10.03,5,32.03,225356,0
17,1.5,5,10.5,100572,0
22.5,-3,5,20.5,104495,0
16.5,-3.5,5,15,307882,0
19,1.5,10,7.5,205432,0
10,2,5,3,221516,0
26,1.75,15,9.25,112060,0
6.5,0,5,1.5,200216,0
10,-1,5,6,300493,0
17.5,-1.5,5,14,202774,0
15,1.33,5,8.67,311543,0
26,-0.2,10,16.2,226621,0
20.5,-1.5,5,17,303142,0
14,0.25,5,8.75,120594,0
25.5,-3.25,10,18.75,230155,0
34.5,-5.96,10,30.46,216456,996491
19,2,10,7,222123,998428
11,-1.5,5,7.5,127093,0
18,0.93,5,12.07,226669,996774
18,-0.67,5,13.67,326297,0
28.5,4.5,20,4,209140,0
23,-3,5,21,301111,0
16,1.83,10,4.17,206586,0
23,-5.83,10,18.83,218869,999231
24.5,-4.33,10,18.83,103131,0
12.5,1.08,5,6.42,325475,0
17.5,-1.33,5,13.83,202457,996415
20.5,-1.17,10,11.67,110910,0
18.5,-0.38,5,13.88,116836,0
17.5,-1.17,10,8.67,321424,0
17.5,-1.33,5,13.83,302261,0
12,-0.75,5,7.75,304859,0
13.5,0.83,5,7.67,225727,0
19.5,-10.5,5,25,310575,0
16,0.5,10,5.5,307107,0
10,2,5,3,309677,0
21,6,15,0,224438,0
16.5,2.33,10,4.17,324892,0
16,0.33,5,10.67,209543,998259
22.5,-15.7,10,28.2,217125,0
36.5,-7.25,10,33.75,126503,999719
8.5,2,5,1.5,114135,0
16,0,5,11,219697,0
16,1.83,10,4.17,114600,0
9.5,0.5,5,4,205076,0
14,1.58,5,7.42,104266,0
12.5,1,5,6.5,230248,993668
19.5,0.6,10,8.9,225212,990621
18,-2.33,5,15.33,115853,0
30.5,-7.75,10,28.25,119934,0
32.5,-0.17,20,12.67,317469,990694
28.5,1.2,15,12.3,317418,0
16.5,-2.5,5,14,216640,0
11,0,5,6,225095,994378
10.5,1,5,4.5,324623,0
15.5,0.83,5,9.67,322948,0
37.5,-28.5,5,61,303065,0
12.5,-0.5,5,8,111310,999786
21,1.25,10,9.75,119427,0
14.5,-0.5,5,10,321798,0
15,0.62,5,9.38,316821,0
24.5,-1.33,5,20.83,206956,0
32,-0.4,10,22.4,105558,999909
22,-6.75,5,23.75,312219,0
11,2,5,4,225452,0
16.5,-1,5,12.5,111762,995913
8.5,1.25,5,2.25,122417,996154
32.5,0.5,20,12,308594,992563
29,-6,15,20,211680,990779
22,1.67,10,10.33,210277,0
7.5,0.75,5,1.75,103368,0
11.5,-2.17,5,8.67,103733,0
16.5,-2,5,13.5,329493,0
15,-0.58,10,5.58,313781,992308
15,-2,5,12,128484,0
13,-3,5,11,309051,0
20,2.8,10,7.2,207578,991319
12.5,1.33,5,6.17,114703,0
14.5,1.67,10,2.83,117111,0
9,0.25,5,3.75,108966,0
12,0,5,7,202556,995820
10,2,5,3,225242,0
16,4.33,10,1.67,329872,0
20,-0.33,10,10.33,306864,0
9,0,5,4,116466,0
21.5,-0.33,10,11.83,317551,0
18,-2.5,5,15.5,322425,0
11,1.5,5,4.5,310346,0
27,-1.63,15,13.63,330852,0
6,1,5,0,109008,0
