ConcertID,Artist,Concert Date,Concert,Venue,Location
1413,Ben Howard,12/19/2014,Ben Howard / Hiss Golden Messenger,AFAS Live,"Amsterdam,"
1820,Ben Howard,12/6/2012,Ben Howard,Paradiso Grote Zaal,"Amsterdam,"
2008,Ed Sheeran,4/3/2017,Ed Sheeran,Ziggo Dome,"Amsterdam,"
2119,Ed Sheeran,4/4/2017,Ed Sheeran,Ziggo Dome,"Amsterdam,"
2120,Ed Sheeran,4/4/2017,Ed Sheeran,Ziggo Dome,"Amsterdam,"
361,Ed Sheeran,11/3/2014,World Tour,Ziggo Dome,"Amsterdam, Netherlands"
362,Ed Sheeran,11/3/2014,Multiply Tour,Ziggo Dome,"Amsterdam, Netherlands"
363,Ed Sheeran,11/3/2014,Ed Sheeran,Ziggo Dome,"Amsterdam, Netherlands"
364,Ed Sheeran,11/3/2014,Ed Sheeran / Saint Raymond,Ziggo Dome,"Amsterdam, Netherlands"
366,Ed Sheeran,11/3/2014,Ed Sheeran,Ziggo Dome,"Amsterdam, Netherlands"
1015,Ed Sheeran,6/29/2018,Ed Sheeran,Amsterdam ArenA,"Amsterdam, Netherlands"
1016,Ed Sheeran,6/29/2018,Divide world tour,Amsterdam ArenA,"Amsterdam, Netherlands"
1017,Ed Sheeran,6/29/2018,Ed Sheeran / Anne-Marie,Amsterdam ArenA,"Amsterdam, Netherlands"
1018,Ed Sheeran,6/29/2018,ˆ tour,Amsterdam ArenA,"Amsterdam, Netherlands"
1020,Ed Sheeran,6/28/2018,Ed Sheeran,Amsterdam ArenA,"Amsterdam, Netherlands"
1021,Ed Sheeran,6/28/2018,Ed Sheeran,Amsterdam ArenA,"Amsterdam, Netherlands"
1412,Ben Howard,12/20/2014,Ben Howard,AFAS Live,"Amsterdam, Netherlands"
1414,Ben Howard,12/18/2014,I Forget Where We Were Tour,Heineken Music Hall,"Amsterdam, Netherlands"
1420,Ben Howard,9/8/2014,Ben Howard / Nick Mulvey,Paradiso,"Amsterdam, Netherlands"
2006,Ed Sheeran,4/3/2017,Ed Sheeran,Ziggo Dome,"Amsterdam, Netherlands"
2007,Ed Sheeran,4/3/2017,Ed Sheeran,Ziggo Dome,"Amsterdam, Netherlands"
2009,Ed Sheeran,4/3/2017,Divide Tour,Ziggo Dome,"Amsterdam, Netherlands"
2022,Ed Sheeran,10/26/2016,Passenger / Ed Sheeran / Gregory Alan Isakov,Ziggo Dome,"Amsterdam, Netherlands"
2118,Ed Sheeran,4/4/2017,Ed Sheeran,Ziggo Dome,"Amsterdam, Netherlands"
2121,Ed Sheeran,4/4/2017,Ed Sheeran,Ziggo Dome,"Amsterdam, Netherlands"
2122,Ed Sheeran,4/4/2017,Divide,Ziggo Dome,"Amsterdam, Netherlands"
2123,Ed Sheeran,4/4/2017,Divide tour,Ziggo Dome,"Amsterdam, Netherlands"
2124,Ed Sheeran,4/4/2017,Ed Sheeran / Anne Marie,Ziggo Dome,"Amsterdam, Netherlands"
1019,Ed Sheeran,6/29/2018,Ed Sheeran,Ziggo Dome,"Amsterdam, NL"
2105,Ed Sheeran,5/5/2017,Divide tour,Sportpaleis,"Antwerpen, Belgium"
2115,Ed Sheeran,4/5/2017,Ed Sheeran,Sportpaleis,"Antwerpen, Belgium"
2116,Ed Sheeran,4/5/2017,Divide World Tour,Sportpaleis,"Antwerpen, Belgium"
2117,Ed Sheeran,4/5/2017,Ed Sheeran,Sportpaleis,"Antwerpen, Belgium"
156,Ed Sheeran,10/27/2018,Divide,AT&T Stadium,"Arlington, TX"
157,Ed Sheeran,10/27/2018,Ed Sheeran / Snow Patrol / Lauv,AT T Stadium,"Arlington, TX"
158,Ed Sheeran,10/27/2018,Ed Sheeran / Snow Patrol / Lauv,AT&T Stadium,"Arlington, TX"
907,Ed Sheeran,5/25/2013,Taylor Swift / Ed Sheeran / Austin Mahone,AT&T Stadium,"Arlington, TX"
908,Ed Sheeran,5/25/2013,Red Tour,ATT Stadium,"Arlington, TX"
1850,Ben Howard,7/1/2012,Main square festival,la citadelle,"Arras, France"
75,Ed Sheeran,9/13/2015,Christina Perri / Ed Sheeran,Philips Arena,"Atlanta, GA"
77,Ed Sheeran,9/13/2015,ed sheeran,Phillips Arena,"Atlanta, GA"
78,Ed Sheeran,9/12/2015,Ed Sheeran / Christina Perri / Jamie Lawson,Phillips Arena,"Atlanta, GA"
79,Ed Sheeran,9/12/2015,x Tour,Philips Arena,"Atlanta, GA"
147,Ed Sheeran,11/9/2018,Ed Sheeran / Snow Patrol / Lauv,Mercedes-benz Stadium,"Atlanta, GA"
386,Ed Sheeran,9/25/2014,Ed Sheeran / Rudimental,Infinite Energy Arena,"Atlanta, GA"
936,Ed Sheeran,4/19/2013,Taylor Swift / Ed Sheeran,Philips Arena,"Atlanta, GA"
937,Ed Sheeran,4/19/2013,Taylor Swift / Ed Sheeran / Brett Eldredge,Phillips Arena,"Atlanta, GA"
938,Ed Sheeran,4/19/2013,Red Tour,Philips Arena,"Atlanta, GA"
1091,Ed Sheeran,1/21/2013,Ed Sheeran / Rizzle Kicks / Foy Vance,The Tabernacle,"Atlanta, GA"
1411,Ben Howard,1/21/2015,Ben Howard,The Tabernacle,"Atlanta, GA"
390,Ed Sheeran,9/17/2014,Ed Sheeran,The Palace of Auburn Hills,"Auburn Hills, MI"
392,Ed Sheeran,9/17/2014,Rudimental / Ed Sheeran,The Palace of Auburn Hills,"Auburn Hills, MI"
393,Ed Sheeran,9/17/2014,X Tour,The Palace of Auburn Hills,"Auburn Hills, MI"
395,Ed Sheeran,9/16/2014,The X Tour,The Palace of Auburn Hills,"Auburn Hills, MI"
1483,Ed Sheeran,3/24/2018,Divide Tour,Mt Smart Stadium,"Auckland, New Zealand"
319,Ed Sheeran,5/6/2015,Ed Sheeran,"Frank Erwin Center, University of Texas","Austin, TX"
625,Ed Sheeran,6/11/2014,A.C.L. Live,Moody Theater,"Austin, TX"
658,Ed Sheeran,5/6/2014,Ed Sheeran / Ben Kweller,Frank Erwin Center,"Austin, TX"
832,Ben Howard,10/9/2015,Austin City Limits Music Festival 2015,Austin City Limits,"Austin, TX"
833,Ben Howard,10/9/2015,Austin City Limits Music Festival 2015,Austin City Limits,"Austin, TX"
834,Ben Howard,10/9/2015,Austin City Limits Music Festival 2015,Austin City Limits,"Austin, TX"
836,Ben Howard,10/2/2015,Austin City Limits Music Festival 2015,Austin City Limits,"Austin, TX"
838,Ben Howard,10/2/2015,Austin City Limits Music Festival 2015,Austin City Limits,"Austin, TX"
839,Ben Howard,10/2/2015,Austin City Limits Music Festival 2015,Austin City Limits,"Austin, TX"
840,Ben Howard,10/2/2015,Austin City Limits Music Festival 2015,Austin City Limits,"Austin, TX"
841,Ben Howard,10/2/2015,Austin City Limits Music Festival 2015,Austin City Limits,"Austin, TX"
909,Ed Sheeran,5/21/2013,Ed Sheeran / Taylor Swift,"Frank Erwin Center, University of Texas","Austin, TX"
1287,Ed Sheeran,3/16/2012,Time Out North America SXSW Showcase,Stubb's Waller Creek Outdoor Amphitheater,"Austin, TX"
1289,Ed Sheeran,3/9/2012,SXSW 2012,Unknown venue,"Austin, TX"
1823,Ben Howard,10/12/2012,Austin City Limits Music Festival 2012,Zilker Park,"Austin, TX"
1824,Ben Howard,10/12/2012,Austin City Limits Music Festival 2012,Zilker Park,"Austin, TX"
1825,Ben Howard,10/12/2012,Austin City Limits Music Festival 2012,Zilker Park,"Austin, TX"
1826,Ben Howard,10/12/2012,Austin City Limits Music Festival 2012,Zilker Park,"Austin, TX"
1827,Ben Howard,10/12/2012,Austin City Limits Music Festival 2012,Zilker Park,"Austin, TX"
1828,Ben Howard,10/12/2012,Austin City Limits Music Festival 2012,Zilker Park,"Austin, TX"
1829,Ben Howard,10/12/2012,Austin City Limits Music Festival 2012,Zilker Park,"Austin, TX"
1830,Ben Howard,10/12/2012,Austin City Limits Music Festival 2012,Zilker Park,"Austin, TX"
1831,Ben Howard,10/12/2012,Austin City Limits Music Festival 2012,Zilker Park,"Austin, TX"
1832,Ben Howard,10/12/2012,Austin City Limits Music Festival 2012,Zilker Park,"Austin, TX"
1833,Ben Howard,10/12/2012,Austin City Limits Music Festival 2012,Zilker Park,"Austin, TX"
1834,Ben Howard,10/12/2012,Austin City Limits Music Festival 2012,Zilker Park,"Austin, TX"
1835,Ben Howard,10/12/2012,Austin City Limits Music Festival 2012,Zilker Park,"Austin, TX"
1836,Ben Howard,10/12/2012,Austin City Limits Music Festival 2012,Zilker Park,"Austin, TX"
1837,Ben Howard,10/12/2012,Austin City Limits Music Festival 2012,Zilker Park,"Austin, TX"
1838,Ben Howard,10/12/2012,Austin City Limits Music Festival 2012,Zilker Park,"Austin, TX"
1839,Ben Howard,10/12/2012,Austin City Limits Music Festival 2012,Zilker Park,"Austin, TX"
1840,Ben Howard,10/12/2012,Austin City Limits Music Festival 2012,Zilker Park,"Austin, TX"
567,Ed Sheeran,7/11/2014,T in the Park Day 1,Balado,"Balado, UK"
1535,Ben Howard,7/12/2014,T in the Park Day 2,Balado,"Balado, UK"
572,Ed Sheeran,7/1/2014,106.5 Summer Blast with Ed Sheeran at Power Plant Live!,Power Plant Live!,"Baltimore, MD"
1082,Ed Sheeran,1/29/2013,Ed Sheeran / Rizzle Kicks / Foy Vance,Rams Head Live,"Baltimore, MD"
298,Ed Sheeran,5/24/2015,The X Tour,Darling's Waterfront Pavilion,"Bangor, ME"
23,Ben Howard,7/12/2018,Festival Cruãlla 2018,Parc del Fïrum,"Barcelona,"
380,Ed Sheeran,10/9/2014,Ed Sheeran,Odyssey Arena,"Belfast, Northern Ireland, UK"
1114,Ed Sheeran,1/10/2013,Ed Sheeran,Odyssey Arena,"Belfast, Northern Ireland, UK"
381,Ed Sheeran,10/8/2014,Ed Sheeran / Saint Raymond,SSE Arena,"Belfast, UK"
1115,Ed Sheeran,1/10/2013,+,sse arena belfast,"Belfast, UK"
1117,Ed Sheeran,1/10/2013,Ed Sheeran / Passenger,sse arena belfast,"Belfast, UK"
1118,Ed Sheeran,1/9/2013,Ed Sheeran,Odyssey Arena,"Belfast, UK"
1476,Ed Sheeran,5/9/2018,Divide Tour,Boucher Road Playing Fields,"Belfast, UK"
2101,Ed Sheeran,5/30/2017,Ed Sheeran / Antonio Lulic,Esplanada Do Mineir?o,"Belo Horizonte,"
1249,Ed Sheeran,7/15/2012,Festival Internacional de BenicÖssim - FIB 2012,Recinto de Conciertos,"Benicassim,"
214,Ed Sheeran,6/26/2015,Ed Sheeran / Rixton,Greek Theatre,"Berkeley, CA"
215,Ed Sheeran,6/26/2015,X tour,Greek Theatre,"Berkeley, CA"
216,Ed Sheeran,6/26/2015,Ed Sheeran / Rixton,Greek Theatre,"Berkeley, CA"
217,Ed Sheeran,6/26/2015,Ed Sheeran / Rixton,Greek Theatre,"Berkeley, CA"
218,Ed Sheeran,6/26/2015,x World Tour,Greek Theatre,"Berkeley, CA"
219,Ed Sheeran,6/26/2015,Ed Sheeran / Rixton,Greek Theatre,"Berkeley, CA"
17,Ben Howard,9/8/2018,Lollapalooza Berlin 2018,Olympiastadion,"Berlin,"
15,Ben Howard,9/8/2018,Lollapalooza Berlin,OLYMPIASTADION BERLIN,"Berlin, Germany"
16,Ben Howard,9/8/2018,Lollapalooza Berlin 2018,Olympia Stadion Berlin,"Berlin, Germany"
2013,Ed Sheeran,3/27/2017,Ed Sheeran,Mercedes Benz Arena,"Berlin, Germany"
862,Ben Howard,8/21/2015,A Campingflight To Lowlands Paradise,A Campingflight To Lowlands Paradise,Biddinghuizen
860,Ben Howard,8/21/2015,Lowlands Festival 2015,Lowlands,"Biddinghuizen,"
863,Ben Howard,8/21/2015,Lowlands Festival 2015,Lowlands,"Biddinghuizen,"
864,Ben Howard,8/21/2015,Lowlands Festival 2015,Lowlands,"Biddinghuizen,"
1221,Ed Sheeran,8/17/2012,Lowlands Festival 2012,Evenemententerrein Walibi World,"Biddinghuizen,"
1222,Ed Sheeran,8/17/2012,Lowlands Festival 2012,Evenemententerrein Walibi World,"Biddinghuizen,"
1845,Ben Howard,8/17/2012,Lowlands Festival 2012,Evenemententerrein Walibi World,"Biddinghuizen,"
1846,Ben Howard,8/17/2012,Lowlands Festival 2012,Evenemententerrein Walibi World,"Biddinghuizen,"
1908,Ben Howard,8/19/2011,Lowlands Festival 2011,Unknown venue,"Biddinghuizen,"
861,Ben Howard,8/21/2015,Lowlands,Lowlands,"Biddinghuizen, Netherlands"
1906,Ben Howard,8/19/2011,Lowlands Festival 2011,Festivalterrein Biddinghuizen,"Biddinghuizen, The Netherlands"
1847,Ben Howard,7/12/2012,Bilbao BBK Live 2012,Kobetamendi,"Bilbao, SP"
101,Ed Sheeran,8/28/2015,Fusion Festival 2015,Cofton Park,"Birmingham,"
374,Ed Sheeran,10/19/2014,Ed Sheeran,Genting Arena,"Birmingham,"
373,Ed Sheeran,10/19/2014,Ed Sheeran,NIA,"Birmingham, England"
1,Ben Howard,1/21/2019,Ben Howard: 'Noonday Dream' Tour,Symphony Hall,"Birmingham, UK"
1902,Ben Howard,2/28/2012,Ben Howard,O2 Institute,"Birmingham, UK"
2110,Ed Sheeran,4/29/2017,Divide,Barclaycard Arena,"Birmingham, UK"
467,Ed Sheeran,11/29/2014,Free Radio Live,Genting Arena,"Birmingham, United Kingdom"
2100,Ed Sheeran,6/2/2017,Divide Tour,Parque Sim¢n Bol°var,"Bogot†, Colombia"
571,Ed Sheeran,7/2/2014,103.3 AMP Radio Private Party with Ed Sheeran,Hard Rock Cafe Boston,"Boston, MA"
845,Ben Howard,9/27/2015,Boston Calling Fall 2015,Boston City Hall Plaza,"Boston, MA"
852,Ben Howard,9/25/2015,Boston Calling Music Festival,City Hall Plaza,"Boston, MA"
853,Ben Howard,9/25/2015,Boston Calling 2015,City Hall Plaza,"Boston, MA"
855,Ben Howard,9/25/2015,Boston Calling 2015,City Hall Plaza,"Boston, MA"
856,Ben Howard,9/25/2015,Boston Calling 2015,City Hall Plaza,"Boston, MA"
857,Ben Howard,9/25/2015,Boston Calling Music Festival,City Hall Plaza,"Boston, MA"
858,Ben Howard,9/25/2015,Boston Calling,City Hall Plaza,"Boston, MA"
859,Ben Howard,9/25/2015,Boston Calling 2015,City Hall Plaza,"Boston, MA"
1135,Ed Sheeran,12/6/2012,Kiss 108's Jingleball 2012,TD Garden,"Boston, MA"
1136,Ed Sheeran,12/6/2012,Justin Bieber / The Wanted / Ed Sheeran / Train / Cher Lloyd / Bridgit Mendler / Karmin,TD Garden,"Boston, MA"
1137,Ed Sheeran,12/6/2012,Jingle Ball,TD Garden,"Boston, MA"
1138,Ed Sheeran,12/6/2012,Justin Bieber / The Wanted / Ed Sheeran / Train / Cher Lloyd / Bridgit Mendler / Karmin,TD Garden,"Boston, MA"
1205,Ed Sheeran,9/19/2012,Ed Sheeran / Passenger,House of Blues - Boston,"Boston, MA"
1206,Ed Sheeran,9/19/2012,Ed Sheeran / Passenger / Selah Sue,House of Blues,"Boston, MA"
1748,Ed Sheeran,9/23/2017,Ed Sheeran,TD Garden,"Boston, MA"
1749,Ed Sheeran,9/23/2017,James Blunt / Ed Sheeran,TD Garden,"Boston, MA"
1750,Ed Sheeran,9/23/2017,Divide Tour,TD Garden,"Boston, MA"
1751,Ed Sheeran,9/23/2017,Ed Sheeran,TD Garden,"Boston, MA"
1752,Ed Sheeran,9/22/2017,James Blunt / Ed Sheeran,TD Garden,"Boston, MA"
1753,Ed Sheeran,9/22/2017,Ed Sheeran,TD Garden,"Boston, MA"
1841,Ben Howard,9/22/2012,Ben Howard,The Paradise Rock Club,"Boston, MA"
450,Ed Sheeran,3/21/2015,Ed Sheeran / Jamie Lawson,Riverstage,"Brisbane, QLD"
451,Ed Sheeran,3/21/2015,X,Riverstage,"Brisbane, QLD"
452,Ed Sheeran,3/20/2015,X,Brisbane Riverstage,"Brisbane, QLD"
1056,Ed Sheeran,3/2/2013,Ed Sheeran,Riverstage,"Brisbane, QLD"
1227,Ed Sheeran,7/31/2012,Ed Sheeran / Georgi Kay,Queensland Performing Arts Centre Concert Hall,"Brisbane, QLD"
1393,Ben Howard,5/29/2015,Ben Howard,The Tivoli,"Brisbane, QLD"
1394,Ben Howard,5/28/2015,I Forget Where We Were Tour,The Tivoli,"Brisbane, QLD"
1395,Ben Howard,5/28/2015,Ben Howard,The Tivoli,"Brisbane, QLD"
1485,Ed Sheeran,3/21/2018,Ed Sheeran,Suncorp Stadium,"Brisbane, QLD"
1486,Ed Sheeran,3/21/2018,Ed Sheeran,Suncorp Stadium,"Brisbane, QLD"
2051,Ed Sheeran,11/28/2015,Ed Sheeran,Suncorp Stadium,"Brisbane, QLD"
2052,Ed Sheeran,11/28/2015,X,Suncorp Stadium,"Brisbane, QLD"
2053,Ed Sheeran,11/28/2015,Ed Sheeran,Suncorp Stadium,"Brisbane, QLD"
1487,Ed Sheeran,3/20/2018,Divide,Suncorp Stadium,"Brisbane, QLD, Australia"
281,Ed Sheeran,5/31/2015,Ed Sheeran / Foy Vance,Barclays Center,"Brooklyn, NY"
282,Ed Sheeran,5/31/2015,Ed Sheeran / Foy Vance,Barclays Center,"Brooklyn, NY"
1265,Ed Sheeran,6/12/2012,Ed Sheeran / Anna Krantz,Music Hall of Williamsburg,"Brooklyn, NY"
1419,Ben Howard,10/29/2014,Ben Howard / Pete Roe,Music Hall of Williamsburg,"Brooklyn, NY"
1642,Ed Sheeran,10/1/2017,Divide Tour,Barclay's Center,"Brooklyn, NY"
1643,Ed Sheeran,10/1/2017,Ed Sheeran / James Blunt,Barclays Center,"Brooklyn, NY"
1644,Ed Sheeran,9/30/2017,Ed Sheeran / James Blunt,Barclays Center,"Brooklyn, NY"
1645,Ed Sheeran,9/30/2017,Ed Sheeran / James Blunt,Barclays Center,"Brooklyn, NY"
1646,Ed Sheeran,9/29/2017,Ed Sheeran,Barclay's Center,"Brooklyn, NY"
1647,Ed Sheeran,9/29/2017,Ed Sheeran / James Blunt,Barclays Center,"Brooklyn, NY"
1648,Ed Sheeran,9/29/2017,World Tour 2017,Barclays Center,"Brooklyn, NY"
1649,Ed Sheeran,9/29/2017,Divide Tour,Barclays Center,"Brooklyn, NY"
1650,Ed Sheeran,9/29/2017,Ed Sheeran / James Blunt,Barclays Center,"Brooklyn, NY"
1818,Ben Howard,2/6/2013,Mumford & Sons / Felice Brothers / Ben Howard,Barclays Center,"Brooklyn, NY"
4,Ben Howard,12/4/2018,Noonday Dream Tour,Forest National / Vorst Nationaal,"Brussel, Belgium"
358,Ed Sheeran,11/4/2014,Ed Sheeran,Forest National / Vorst Nationaal,"Brussel, Belgium"
357,Ed Sheeran,11/4/2014,Ed Sheeran / Jamie Lawson,Forest National / Vorst Nationaal,"Brussels,"
352,Ed Sheeran,11/14/2014,Jamie Lawson / Ed Sheeran,Forest national,"Brussels, Belgium"
329,Ed Sheeran,4/25/2015,Multiply Tour,Luna Park,"Buenos Aires, AR"
1123,Ed Sheeran,12/10/2012,Kissmas Bash 2012,KeyBank Center,"Buffalo, NY"
1985,Ed Sheeran,7/9/2017,Ed Sheeran / James Blunt,KeyBank Center,"Buffalo, NY"
1986,Ed Sheeran,7/9/2017,Ed Sheeran / James Blunt,KeyBank Center,"Buffalo, NY"
2075,Ed Sheeran,7/9/2017,Divide Tour,KeyBank Center,"Buffalo, NY"
2076,Ed Sheeran,7/9/2017,Ed Sheeran / James Blunt,KeyBank Center,"Buffalo, NY"
1629,Ed Sheeran,11/14/2017,2018 Divide Tour,Axiata Arena,Bukit Jalil
1630,Ed Sheeran,11/14/2017,Ed Sheeran,Axiata Arena,Bukit Jalil
18,Ben Howard,7/20/2018,Splendour In The Grass,North Byron Parklands,"Byron Bay, NSW"
19,Ben Howard,7/20/2018,Splendour in the Grass Festival 2018,North Byron Parklands,"Byron Bay, NSW"
20,Ben Howard,7/20/2018,Splendour in the Grass Festival 2018,North Byron Parklands,"Byron Bay, NSW"
21,Ben Howard,7/20/2018,Splendour in the Grass Festival 2018,North Byron Parklands,"Byron Bay, NSW"
1429,Ben Howard,7/25/2014,Splendour in the Grass Festival 2014,North Byron Parklands,"Byron Bay, NSW"
1430,Ben Howard,7/25/2014,Splendour in the Grass Festival 2014,North Byron Parklands,"Byron Bay, NSW"
1431,Ben Howard,7/25/2014,Splendour in the Grass Festival 2014,North Byron Parklands,"Byron Bay, NSW"
1432,Ben Howard,7/25/2014,Splendour in the Grass Festival 2014,North Byron Parklands,"Byron Bay, NSW"
1433,Ben Howard,7/25/2014,Splendour in the Grass Festival 2014,North Byron Parklands,"Byron Bay, NSW"
1434,Ben Howard,7/25/2014,Splendour in the Grass Festival 2014,North Byron Parklands,"Byron Bay, NSW"
1435,Ben Howard,7/25/2014,Splendour in the Grass Festival 2014,North Byron Parklands,"Byron Bay, NSW"
1436,Ben Howard,7/25/2014,Splendour in the Grass Festival 2014,North Byron Parklands,"Byron Bay, NSW"
1437,Ben Howard,7/25/2014,Splendour in the Grass Festival 2014,North Byron Parklands,"Byron Bay, NSW"
1438,Ben Howard,7/25/2014,Splendour in the Grass Festival 2014,North Byron Parklands,"Byron Bay, NSW"
1530,Ben Howard,7/25/2014,Splendour in the Grass Festival 2014,North Byron Parklands,"Byron Bay, NSW"
1531,Ben Howard,7/25/2014,Splendour in the Grass Festival 2014,North Byron Parklands,"Byron Bay, NSW"
1532,Ben Howard,7/25/2014,Splendour in the Grass Festival 2014,North Byron Parklands,"Byron Bay, NSW"
1533,Ben Howard,7/25/2014,Splendour in the Grass Festival 2014,North Byron Parklands,"Byron Bay, NSW"
1534,Ben Howard,7/25/2014,Splendour in the Grass Festival 2014,North Byron Parklands,"Byron Bay, NSW"
246,Ed Sheeran,6/17/2015,Ed Sheeran / Rixton,Scotiabank Saddledome,"Calgary, AB"
247,Ed Sheeran,6/17/2015,Multiply Tour,Scotiabank Saddledome,"Calgary, AB"
385,Ed Sheeran,9/29/2014,iTunes Festival 2014,The Roundhouse,"Camden, London, UK"
1718,Ben Howard,2/17/2013,Mumford & Sons / Ben Howard / HAIM,BB&T Pavilion,"Camden, NJ"
1719,Ben Howard,2/16/2013,Mumford & Sons / Haim / Ben Howard,Susquehanna Bank Center,"Camden, NJ"
254,Ed Sheeran,6/7/2015,Ed Sheeran / Rixton,CMAC - Constellation Brands - Marvin Sands Performing Arts Center,"Canandaigua, NY"
255,Ed Sheeran,6/7/2015,Rixton / Ed Sheeran,CMAC - Constellation Brands - Marvin Sands Performing Arts Center,"Canandaigua, NY"
1022,Ed Sheeran,6/24/2018,Ed Sheeran,Principality Stadium,Cardiff
1398,Ben Howard,4/21/2015,Ben Howard / Aero Flynn,Motorpoint Arena Cardiff,"Cardiff,"
1462,Ed Sheeran,6/22/2018,Ed Sheeran / Jamie Lawson / Anne Marie,Principality Stadium,"Cardiff,"
1461,Ed Sheeran,6/23/2018,Ed Sheeran,Principality Stadium,"Cardiff, Wales, UK"
2147,Ed Sheeran,9/26/2015,Global Citizen Festival,Great Lawn at Central Park,"Central Park, NY"
1045,Ed Sheeran,3/24/2013,Ed Sheeran,Brittlebank Park,"Charleston, SC"
1211,Ed Sheeran,9/9/2012,Ed Sheeran / Passenger,Amos' Southend,"Charlotte, NC"
717,Ed Sheeran,9/14/2013,The Red Tour,John Paul Jones Arena,"Charlottesville, VA"
718,Ed Sheeran,9/14/2013,Taylor Swift / Ed Sheeran,John Paul Jones Arena,"Charlottesville, VA"
556,Ed Sheeran,8/16/2014,V Festival 2014,Hylands Park,"Chelmsford,"
557,Ed Sheeran,8/16/2014,V Festival,Hylands Park,"Chelmsford, UK"
735,Ed Sheeran,8/10/2013,Ed Sheeran / Taylor Swift,Soldier Field,"Chicago, IL"
736,Ed Sheeran,8/10/2013,Taylor Swift / Ed Sheeran,Soldier Field,"Chicago, IL"
737,Ed Sheeran,8/10/2013,Taylor Swift / Ed Sheeran,Soldier Field,"Chicago, IL"
1190,Ed Sheeran,9/25/2012,Ed Sheeran,Riviera Theatre,"Chicago, IL"
1191,Ed Sheeran,9/25/2012,Ed Sheeran,Riviera Theatre,"Chicago, IL"
1192,Ed Sheeran,9/25/2012,Ed Sheeran,Riviera Theatre,"Chicago, IL"
1280,Ed Sheeran,4/21/2012,Snow Patrol / Ed Sheeran,Aragon Ballroom,"Chicago, IL"
1566,Ben Howard,8/2/2013,Lollapalooza 2013,Grant Park,"Chicago, IL"
1568,Ben Howard,8/2/2013,Lollapalooza 2013,Grant Park,"Chicago, IL"
1569,Ben Howard,8/2/2013,Lollapalooza 2013,Grant Park,"Chicago, IL"
1570,Ben Howard,8/2/2013,Lollapalooza 2013,Grant Park,"Chicago, IL"
1571,Ben Howard,8/2/2013,Lollapalooza 2013,Grant Park,"Chicago, IL"
1572,Ben Howard,8/2/2013,Lollapalooza 2013,Grant Park,"Chicago, IL"
1573,Ben Howard,8/2/2013,Lollapalooza 2013,Grant Park,"Chicago, IL"
1574,Ben Howard,8/2/2013,Lollapalooza 2013,Grant Park,"Chicago, IL"
1575,Ben Howard,8/2/2013,Lollapalooza 2013,Grant Park,"Chicago, IL"
1577,Ben Howard,8/2/2013,Lollapalooza 2013,Grant Park,"Chicago, IL"
1578,Ben Howard,8/2/2013,Lollapalooza,Grant Park,"Chicago, IL"
1579,Ben Howard,8/2/2013,Lollapalooza 2013,Grant Park,"Chicago, IL"
1671,Ben Howard,8/2/2013,Lollapalooza 2013,Grant Park,"Chicago, IL"
1673,Ben Howard,8/2/2013,Lollapalooza 2013,Grant Park,"Chicago, IL"
1674,Ben Howard,8/2/2013,Lollapalooza 2013,Grant Park,"Chicago, IL"
1675,Ben Howard,8/2/2013,Lollapalooza 2013,Grant Park,"Chicago, IL"
420,Ed Sheeran,4/8/2015,Ed Sheeran,Horncastle Arena,"Christchurch, New Zealand"
