Airline,CustomerID,How_likely_are_you_to_recommend_this_airline
"Rohan, Buckridge and Reichel",37e8986,7
"Rohan, Buckridge and Reichel",1a45bb7,7
"Rohan, Buckridge and Reichel",edfdec0,10
"Rohan, Buckridge and Reichel",a6dd7e2,5
"Rohan, Buckridge and Reichel",e379d62,2
"Rohan, Buckridge and Reichel",8c1dd29,9
"Rohan, Buckridge and Reichel",d5db3e0,5
"Rohan, Buckridge and Reichel",da226f6,8
"Rohan, Buckridge and Reichel",c4aa0e1,1
"Rohan, Buckridge and Reichel",2600d4f,10
"Rohan, Buckridge and Reichel",f0dac71,6
"Rohan, Buckridge and Reichel",593778a,8
"Rohan, Buckridge and Reichel",8abd8aa,8
"Rohan, Buckridge and Reichel",0a875e4,7
"Rohan, Buckridge and Reichel",82fae07,10
"Rohan, Buckridge and Reichel",e7b9596,3
"Rohan, Buckridge and Reichel",027d1b4,4
"Rohan, Buckridge and Reichel",096c8b7,10
"Rohan, Buckridge and Reichel",9b1b654,9
"Rohan, Buckridge and Reichel",4859d29,10
Strosin-Larkin,d3f3d78,1
Strosin-Larkin,0f8614a,2
Strosin-Larkin,b6ecfa8,7
Strosin-Larkin,7c9dfdb,2
Strosin-Larkin,ae048b8,9
Strosin-Larkin,3eb36b5,10
Strosin-Larkin,f70ab5f,1
Strosin-Larkin,3fab836,8
Strosin-Larkin,7.30E+51,8
Strosin-Larkin,3de8696,8
Strosin-Larkin,2ecd1be,7
Strosin-Larkin,1456f9d,7
Strosin-Larkin,f631c5c,7
Strosin-Larkin,c4fe13d,3
Strosin-Larkin,ed5d440,6
Strosin-Larkin,477e9c9,5
Strosin-Larkin,84def9f,9
Strosin-Larkin,b37c465,2
Strosin-Larkin,41b5963,0
Strosin-Larkin,551afe9,8
Strosin-Larkin,26870d9,8
Strosin-Larkin,b9e93f4,7
Strosin-Larkin,2043ae7,7
Strosin-Larkin,eb1f345,0
Strosin-Larkin,1e7602f,1
Strosin-Larkin,3d07cfc,3
Strosin-Larkin,1dd8ca8,9
Strosin-Larkin,96583cd,1
Strosin-Larkin,d6c17d0,4
Strosin-Larkin,874209b,2
Strosin-Larkin,4175200,9
Strosin-Larkin,2a0868d,5
Strosin-Larkin,c9f3065,9
Strosin-Larkin,e874202,10
Strosin-Larkin,e606484,4
Strosin-Larkin,98394b4,10
Strosin-Larkin,0112a1a,9
Rau-Swift,e7dce9c,4
Rau-Swift,c5392f0,7
Rau-Swift,118675f,4
Rau-Swift,645f27e,8
Rau-Swift,4708a28,10
Rau-Swift,6c74542,6
Rau-Swift,429d6b7,7
Rau-Swift,ebfa5ce,10
Rau-Swift,5ce4044,3
Rau-Swift,d83e37b,9
Rau-Swift,cc65f82,9
Rau-Swift,51d3aca,3
Rau-Swift,d7f5b06,10
Rau-Swift,1ae95c1,9
Rau-Swift,e0aea79,8
Rau-Swift,54d8bfe,8
Rau-Swift,0125c3c,6
Rau-Swift,0076d86,3
Rau-Swift,8c000e0,10
"Cronin, O'Keefe and Heidenreich",af120f5,10
"Cronin, O'Keefe and Heidenreich",527a0aa,9
"Cronin, O'Keefe and Heidenreich",1.48E+12,1
"Cronin, O'Keefe and Heidenreich",3b14eb2,7
"Cronin, O'Keefe and Heidenreich",d4f664c,7
"Cronin, O'Keefe and Heidenreich",e846277,3
"Cronin, O'Keefe and Heidenreich",815006b,0
"Cronin, O'Keefe and Heidenreich",169be17,8
"Cronin, O'Keefe and Heidenreich",96b33de,8
"Cronin, O'Keefe and Heidenreich",b520496,5
"Cronin, O'Keefe and Heidenreich",83422be,10
"Cronin, O'Keefe and Heidenreich",be9edd6,8
"Cronin, O'Keefe and Heidenreich",a1f3559,9
"Cronin, O'Keefe and Heidenreich",6d1c7b0,8
"Cronin, O'Keefe and Heidenreich",c0d3875,8
"Cronin, O'Keefe and Heidenreich",b58dfba,7
"Cronin, O'Keefe and Heidenreich",e93757c,7
"Cronin, O'Keefe and Heidenreich",2156872,2
"Cronin, O'Keefe and Heidenreich",d3af703,6
"Cronin, O'Keefe and Heidenreich",f71bb33,0
"Cronin, O'Keefe and Heidenreich",c5cb1cb,8
"Cronin, O'Keefe and Heidenreich",5bd39a5,6
"Cronin, O'Keefe and Heidenreich",f441712,0
"Cronin, O'Keefe and Heidenreich",cd3bdcd,7
"Cronin, O'Keefe and Heidenreich",dd75d94,0
"Cronin, O'Keefe and Heidenreich",287010d,9
"Cronin, O'Keefe and Heidenreich",ca1d8d4,5
"Cronin, O'Keefe and Heidenreich",bb26f66,8
"Cronin, O'Keefe and Heidenreich",c36d442,7
"Cronin, O'Keefe and Heidenreich",6940ed8,4
"Cronin, O'Keefe and Heidenreich",9c89ce7,10
"Cronin, O'Keefe and Heidenreich",13a92cb,10
"Cronin, O'Keefe and Heidenreich",3016a9c,3
"Cronin, O'Keefe and Heidenreich",5fa6398,7
"Cronin, O'Keefe and Heidenreich",479c0cb,8
"Cronin, O'Keefe and Heidenreich",998d5ab,7
"Cronin, O'Keefe and Heidenreich",8b5e0a0,7
"Cronin, O'Keefe and Heidenreich",29ed060,7
"Cronin, O'Keefe and Heidenreich",8f531fd,3
"Cronin, O'Keefe and Heidenreich",b3bd3b9,7
"Cronin, O'Keefe and Heidenreich",b6dc4f6,0
"Cronin, O'Keefe and Heidenreich",1c025ff,2
"Cronin, O'Keefe and Heidenreich",65751a4,5
"Cronin, O'Keefe and Heidenreich",c2f1883,10
"Cronin, O'Keefe and Heidenreich",8bfd72c,5
"Cronin, O'Keefe and Heidenreich",529edd6,5
"Cronin, O'Keefe and Heidenreich",00f951e,8
"Cronin, O'Keefe and Heidenreich",f85d6a7,9
"Cronin, O'Keefe and Heidenreich",b85c594,9
"Cronin, O'Keefe and Heidenreich",7b8cfa6,9
"Cronin, O'Keefe and Heidenreich",fb8badd,7
"Cronin, O'Keefe and Heidenreich",4b0ca9e,6
"Cronin, O'Keefe and Heidenreich",f6f4fa9,9
"Cronin, O'Keefe and Heidenreich",968b45b,1
"Cronin, O'Keefe and Heidenreich",633a6df,9
"Cronin, O'Keefe and Heidenreich",0fc4f86,4
"Cronin, O'Keefe and Heidenreich",de39533,8
"Cronin, O'Keefe and Heidenreich",afcbc4c,10
"Cronin, O'Keefe and Heidenreich",f7e3a4b,9
"Cronin, O'Keefe and Heidenreich",8a527f4,10
"Cronin, O'Keefe and Heidenreich",11a2a05,7
"Cronin, O'Keefe and Heidenreich",fd66e06,7
"Cronin, O'Keefe and Heidenreich",fce5ca5,9
"Cronin, O'Keefe and Heidenreich",e989fea,8
"Cronin, O'Keefe and Heidenreich",2fc0127,8
"Cronin, O'Keefe and Heidenreich",022e2ef,8
"Cronin, O'Keefe and Heidenreich",626da52,4
"Cronin, O'Keefe and Heidenreich",db3b285,10
"Cronin, O'Keefe and Heidenreich",4fe5c7e,10
"Cronin, O'Keefe and Heidenreich",e76c88d,10
"Cronin, O'Keefe and Heidenreich",9f9eef8,8
"Cronin, O'Keefe and Heidenreich",6df29a7,9
"Cronin, O'Keefe and Heidenreich",c91a97d,4
"Cronin, O'Keefe and Heidenreich",96036bd,10
"Cronin, O'Keefe and Heidenreich",643d591,0
"Cronin, O'Keefe and Heidenreich",e3e059a,9
"Cronin, O'Keefe and Heidenreich",e589637,10
"Cronin, O'Keefe and Heidenreich",563178,10
"Cronin, O'Keefe and Heidenreich",8dcfb1f,7
"Cronin, O'Keefe and Heidenreich",c81899d,9
"Cronin, O'Keefe and Heidenreich",7399484,0
"Cronin, O'Keefe and Heidenreich",08adeb5,8
"Cronin, O'Keefe and Heidenreich",777b03c,8
"Cronin, O'Keefe and Heidenreich",8539897,7
Kerluke-Bernhard,1ea2f78,8
Kerluke-Bernhard,82d761b,4
Kerluke-Bernhard,59f57b4,8
Kerluke-Bernhard,aea3080,9
Kerluke-Bernhard,eb77c2b,8
Kerluke-Bernhard,c6dc3ed,5
Kerluke-Bernhard,6f3f9d6,10
Kerluke-Bernhard,a8a1e04,10
Kerluke-Bernhard,e3e2a9d,7
Kerluke-Bernhard,46fadb3,7
Kerluke-Bernhard,ea9e23a,8
Kerluke-Bernhard,b4ea7c5,9
Kerluke-Bernhard,e401587,8
Kerluke-Bernhard,f3e8932,7
Kerluke-Bernhard,65cb163,10
Kerluke-Bernhard,7fd1468,10
Kerluke-Bernhard,fd54328,10
"Zulauf, Wehner and Goodwin",46c0d19,10
"Zulauf, Wehner and Goodwin",c9fe689,8
"Zulauf, Wehner and Goodwin",353df24,7
"Zulauf, Wehner and Goodwin",1.26E+10,10
"Zulauf, Wehner and Goodwin",11fd3bd,10
"Zulauf, Wehner and Goodwin",47c60e5,10
"Zulauf, Wehner and Goodwin",d9d9002,6
"Zulauf, Wehner and Goodwin",6346b04,5
"Zulauf, Wehner and Goodwin",4d929ed,5
"Zulauf, Wehner and Goodwin",6b28d4c,7
"Zulauf, Wehner and Goodwin",40a2797,8
"Zulauf, Wehner and Goodwin",b813a8c,6
"Zulauf, Wehner and Goodwin",558727d,1
"Zulauf, Wehner and Goodwin",7f5c18e,0
"Zulauf, Wehner and Goodwin",3432b78,1
"Zulauf, Wehner and Goodwin",b0985a6,6
"Zulauf, Wehner and Goodwin",f93d9dc,4
"Zulauf, Wehner and Goodwin",48b9752,1
"Zulauf, Wehner and Goodwin",8065d8f,5
"Zulauf, Wehner and Goodwin",b46fa6b,9
"Zulauf, Wehner and Goodwin",ee548bc,1
"Zulauf, Wehner and Goodwin",e002f28,10
"Zulauf, Wehner and Goodwin",dad747d,9
"Zulauf, Wehner and Goodwin",4d41464,3
"Zulauf, Wehner and Goodwin",7502cf1,7
"Zulauf, Wehner and Goodwin",4a7974e,2
"Zulauf, Wehner and Goodwin",7b9d4c7,8
"Zulauf, Wehner and Goodwin",eae4aa0,8
"Zulauf, Wehner and Goodwin",ffb126b,9
"Zulauf, Wehner and Goodwin",e2571b7,3
"Zulauf, Wehner and Goodwin",ecd36e5,3
"Zulauf, Wehner and Goodwin",78fbc8d,4
"Zulauf, Wehner and Goodwin",5e84d78,8
"Zulauf, Wehner and Goodwin",27ecc9c,6
"Zulauf, Wehner and Goodwin",fbb5585,6
"Zulauf, Wehner and Goodwin",0b195b4,6
"Zulauf, Wehner and Goodwin",1a3095e,10
Kerluke-Murphy,3cf89c5,3
Kerluke-Murphy,1c2307d,4
Kerluke-Murphy,551ea44,7
Kerluke-Murphy,c6e8b66,10
Kerluke-Murphy,ceacc16,8
Kerluke-Murphy,784cda3,6
Kerluke-Murphy,1d9b632,8
Kerluke-Murphy,09e8a1f,9
Kerluke-Murphy,afa8797,4
Kerluke-Murphy,b43896c,0
Kerluke-Murphy,a3cf7d5,7
Kerluke-Murphy,2fde446,7
Kerluke-Murphy,0dcd075,3
Kerluke-Murphy,7134b3a,9
Kerluke-Murphy,8359f7a,7
Kerluke-Murphy,f85d30b,7
Kerluke-Murphy,eafa5e4,8
Kerluke-Murphy,ae3bf51,8
Kerluke-Murphy,29eb8db,9
Kerluke-Murphy,4ff987a,9
Kerluke-Murphy,5ad065e,2
Kerluke-Murphy,bbe5727,4
Kerluke-Murphy,562112b,7
Kerluke-Murphy,eb256a4,7
Kerluke-Murphy,0ea3bc8,3
Kerluke-Murphy,2b011b0,0
Kerluke-Murphy,e33a630,8
Kerluke-Murphy,ecf2fc2,6
Kerluke-Murphy,4661437,10
Kerluke-Murphy,ec4feaa,9
Kerluke-Murphy,123a257,9
Kerluke-Murphy,cc0cea8,9
Kerluke-Murphy,6935735,9
Kerluke-Murphy,e4b0f6e,10
Kerluke-Murphy,94e05b3,7
Kerluke-Murphy,ae97983,8
Kerluke-Murphy,9192b0f,8
Kerluke-Murphy,edff1cd,10
Kerluke-Murphy,36990b3,10
Kerluke-Murphy,e7736ac,10
Kerluke-Murphy,0e11d30,9
Kerluke-Murphy,6da5329,2
Kerluke-Murphy,85f2b8f,7
Kerluke-Murphy,4940a28,7
Kerluke-Murphy,6b06c44,8
Kerluke-Murphy,abcfbdb,4
Kerluke-Murphy,cd5b1d3,3
Kerluke-Murphy,1d46493,9
Kerluke-Murphy,26ea3c5,7
Kerluke-Murphy,823995c,8
Kerluke-Murphy,cedf095,7
Kerluke-Murphy,946f7b0,3
Kerluke-Murphy,c3a8193,2
Kerluke-Murphy,c4f039e,7
Kerluke-Murphy,22df0f0,4
Kerluke-Murphy,2269492,5
Kerluke-Murphy,93d8eb1,8
Kerluke-Murphy,8b02b39,7
Kerluke-Murphy,8b9afc2,10
Kerluke-Murphy,f1bb0ee,8
Kerluke-Murphy,98bfea8,5
Kerluke-Murphy,7.49E+43,9
Kerluke-Murphy,de2775f,8
Kerluke-Murphy,bccc10d,9
Kerluke-Murphy,d0f8f19,9
Kerluke-Murphy,53f35d1,4
Kerluke-Murphy,c58bff5,7
Kerluke-Murphy,ddd2527,9
Kerluke-Murphy,d3c1077,5
Kerluke-Murphy,ef4dcf5,8
Kerluke-Murphy,5f615cd,4
Kerluke-Murphy,307c9d3,6
Kerluke-Murphy,91d2c16,7
Bogan and Sons,9d4e8b9,8
Bogan and Sons,15dc6ce,7
Bogan and Sons,ed87d29,2
Bogan and Sons,ae4ff00,2
Bogan and Sons,6738fd1,8
Bogan and Sons,de05316,2
Bogan and Sons,680ee47,8
Bogan and Sons,7d7673b,7
Bogan and Sons,c1f0c7d,4
Bogan and Sons,f6d18ab,5
Bogan and Sons,3f1a229,8
Bogan and Sons,89dbab4,3
Bogan and Sons,9154064,7
Bogan and Sons,a498d2c,5
Bogan and Sons,9122cb3,3
Bogan and Sons,331c40d,10
Bogan and Sons,5154b0c,8
Bogan and Sons,f5f6239,8
Bogan and Sons,0fcf665,3
Bogan and Sons,1b44c3e,9
Bogan and Sons,1772ab5,10
Bogan and Sons,359eefc,4
Bogan and Sons,cd54ffd,10
Bogan and Sons,19421dd,9
Bogan and Sons,bbede0f,7
Bogan and Sons,cb01f78,1
Bogan and Sons,33f668d,10
Bogan and Sons,b1ec43e,7
Bogan and Sons,3ffbef5,4
Bogan and Sons,c7a2ce5,7
Bogan and Sons,dc47e7d,8
Bogan and Sons,338d01c,1
Bogan and Sons,47a9320,10
Bogan and Sons,9266224,8
Bogan and Sons,a971662,9
Bogan and Sons,103ebe9,7
Bogan and Sons,3c8c3c7,5
Bogan and Sons,4a1ad36,10
Bogan and Sons,ee7208b,4
Bogan and Sons,b3f1338,7
Bogan and Sons,f274440,8
Bogan and Sons,ece34d0,8
Bogan and Sons,8f00fd8,7
Bogan and Sons,9bf7150,9
Bogan and Sons,3cec8d2,3
Bogan and Sons,06319fe,8
Bogan and Sons,40436db,8
Bogan and Sons,4790277,10
Bogan and Sons,7665e9d,7
Bogan and Sons,371c2f5,3
Bogan and Sons,f08a895,0
Bogan and Sons,c10c19f,8
Bogan and Sons,c40504f,4
Bogan and Sons,3997710,7
Bogan and Sons,5d918e9,5
Bogan and Sons,aa52d33,4
Bogan and Sons,044077b,8
Bogan and Sons,eece974,0
Bogan and Sons,bd611b2,7
Bogan and Sons,8394af0,8
Bogan and Sons,bef9227,10
Bogan and Sons,4ab2fdb,9
Bogan and Sons,b7f9a28,8
Bogan and Sons,3a0b345,9
Bogan and Sons,4247c40,7
Bogan and Sons,66d42bc,7
Bogan and Sons,49dab10,10
Bogan and Sons,d2e4bd3,7
Bogan and Sons,fd95e5d,5
Bogan and Sons,b084373,7
Bogan and Sons,7af32b1,8
Bogan and Sons,138807c,4
Bogan and Sons,64f9cb7,8
Bogan and Sons,58c6a01,7
Bogan and Sons,ff52612,3
Bogan and Sons,ee3adde,4
Bogan and Sons,86e8964,7
Bogan and Sons,f1c4e1c,10
Bogan and Sons,7d4cfc6,9
Bogan and Sons,b83818e,7
Bogan and Sons,74cb894,8
Bogan and Sons,b695ade,10
Bogan and Sons,467fc0c,7
Bogan and Sons,e75b1eb,9
Bogan and Sons,df9730e,8
Bogan and Sons,0aa0923,10
Bogan and Sons,bb71c72,8
Bogan and Sons,6412266,10
Bogan and Sons,2aad945,7
Bogan and Sons,934853c,7
Bogan and Sons,da4c8e1,6
Bogan and Sons,3e8e486,0
Bogan and Sons,0d85a79,8
Bogan and Sons,d7a6027,9
Bogan and Sons,6f4edd1,7
Bogan and Sons,6415eea,8
Bogan and Sons,f196b81,7
Bogan and Sons,4f1daf0,7
Bogan and Sons,ac92ce1,10
Bogan and Sons,eebd2aa,8
Bogan and Sons,af97086,10
Bogan and Sons,249def5,1
Bogan and Sons,5360774,4
Bogan and Sons,5a3b0fe,9
Bogan and Sons,49e306c,9
Bogan and Sons,c5618df,8
Bogan and Sons,97f2a4a,8
Bogan and Sons,b054e37,10
Bogan and Sons,097c71c,0
Bogan and Sons,beac81f,5
Bogan and Sons,8bbd024,7
Bogan and Sons,9753ce3,8
"Toy, Bartell and Williamson",f674a9b,7
"Toy, Bartell and Williamson",84a59b1,1
"Toy, Bartell and Williamson",9a06c15,9
"Toy, Bartell and Williamson",f0d27f6,7
"Toy, Bartell and Williamson",c07dd8c,7
"Toy, Bartell and Williamson",2930701,8
"Toy, Bartell and Williamson",b208856,7
"Toy, Bartell and Williamson",b670d2a,7
"Toy, Bartell and Williamson",b5515f9,10
"Toy, Bartell and Williamson",4ecc81a,10
"Toy, Bartell and Williamson",cb7fd7a,2
"Toy, Bartell and Williamson",00b1e42,2
"Toy, Bartell and Williamson",05ed80d,9
"Toy, Bartell and Williamson",d421976,9
"Toy, Bartell and Williamson",3f68e2a,3
"Toy, Bartell and Williamson",574c00d,8
"Toy, Bartell and Williamson",25b1897,7
"Toy, Bartell and Williamson",669348a,4
"Toy, Bartell and Williamson",ee305d7,10
"Toy, Bartell and Williamson",742eb6e,7
"Toy, Bartell and Williamson",f58119a,5
"Toy, Bartell and Williamson",d5bed68,0
"Toy, Bartell and Williamson",a3caea4,10
"Toy, Bartell and Williamson",0cae37d,10
"Toy, Bartell and Williamson",8b7165e,8
