Rank,Rider,Rider_No,Team,Times,Gap
113,MICHAEL GOGL,195,TREK - SEGAFREDO,86h 50' 07'',+ 03h 32' 54''
114,ALEXANDER KRISTOFF,95,UAE TEAM EMIRATES,86h 50' 46'',+ 03h 33' 33''
115,SEP VANMARCKE,18,TEAM EF EDUCATION FIRST - DRAPAC P/B CANNONDALE,86h 51' 30'',+ 03h 34' 17''
116,ANTHONY TURGIS,208,"COFIDIS, SOLUTIONS CREDITS",86h 53' 24'',+ 03h 36' 11''
117,MICHAEL HEPBURN,65,MITCHELTON - SCOTT,86h 53' 43'',+ 03h 36' 30''
118,LUKE DURBRIDGE,63,MITCHELTON - SCOTT,86h 54' 34'',+ 03h 37' 21''
119,NIKI TERPSTRA,108,QUICK - STEP FLOORS,86h 54' 44'',+ 03h 37' 31''
120,FABIEN GRELLIER,186,DIRECT ENERGIE,86h 55' 09'',+ 03h 37' 56''
121,JACK BAUER,62,MITCHELTON - SCOTT,86h 56' 15'',+ 03h 39' 02''
122,MACIEJ BODNAR,112,BORA - HANSGROHE,86h 56' 33'',+ 03h 39' 20''
123,GUILLAUME VAN KEIRSBULCK,218,WANTY - GROUPE GOBERT,86h 57' 43'',+ 03h 40' 30''
124,CHRISTOPHE LAPORTE,201,"COFIDIS, SOLUTIONS CREDITS",86h 59' 08'',+ 03h 41' 55''
125,HEINRICH HAUSSLER,53,BAHRAIN - MERIDA,86h 59' 37'',+ 03h 42' 24''
126,MARCO MARCATO,96,UAE TEAM EMIRATES,87h 00' 07'',+ 03h 42' 54''
127,OLIVIER LE GAC,154,GROUPAMA - FDJ,87h 06' 16'',+ 03h 49' 03''
128,LUKE ROWE,7,TEAM SKY,87h 08' 08'',+ 03h 50' 55''
129,TOM SCULLY,17,TEAM EF EDUCATION FIRST - DRAPAC P/B CANNONDALE,87h 08' 12'',+ 03h 50' 59''
130,DIMITRI CLAEYS,202,"COFIDIS, SOLUTIONS CREDITS",87h 08' 28'',+ 03h 51' 15''
131,TIMOTHY DUPONT,213,WANTY - GROUPE GOBERT,87h 08' 29'',+ 03h 51' 16''
132,LUKAS P™STLBERGER,118,BORA - HANSGROHE,87h 14' 06'',+ 03h 56' 53''
133,OLIVIERO TROIA,98,UAE TEAM EMIRATES,87h 14' 15'',+ 03h 57' 02''
134,RAMON SINKELDAM,157,GROUPAMA - FDJ,87h 15' 14'',+ 03h 58' 01''
135,MAXIMILIANO ARIEL RICHEZE,107,QUICK - STEP FLOORS,87h 16' 11'',+ 03h 58' 58''
136,TAYLOR PHINNEY,15,TEAM EF EDUCATION FIRST - DRAPAC P/B CANNONDALE,87h 16' 20'',+ 03h 59' 07''
137,TIMO ROOSEN,167,TEAM LOTTO NL - JUMBO,87h 18' 18'',+ 04h 01' 05''
138,ROBERTO FERRARI,94,UAE TEAM EMIRATES,87h 18' 47'',+ 04h 01' 34''
139,AMUND GR?NDAHL JANSEN,164,TEAM LOTTO NL - JUMBO,87h 19' 17'',+ 04h 02' 04''
140,DAMIEN GAUDIN,185,DIRECT ENERGIE,87h 19' 20'',+ 04h 02' 07''
141,ARNAUD DEMARE,151,GROUPAMA - FDJ,87h 25' 31'',+ 04h 08' 18''
142,JASPER DE BUYST,173,LOTTO SOUDAL,87h 26' 07'',+ 04h 08' 54''
143,JAY ROBERT THOMSON,137,TEAM DIMENSION DATA,87h 27' 02'',+ 04h 09' 49''
144,JACOPO GUARNIERI,153,GROUPAMA - FDJ,87h 29' 42'',+ 04h 12' 29''
145,LAWSON CRADDOCK,13,TEAM EF EDUCATION FIRST - DRAPAC P/B CANNONDALE,87h 51' 32'',+ 04h 34' 19''
