Comment Split,Category,TempF,TempC,Comment,Tweet Id,Created At
welcome,Water,65,18.3,Welcome to our international readers; we are sure you will enjoy the Serpentine,220445077057708034,04/07/2012 09:12:56
olympic,Water,67,19.4,Olympic traffic congestion/restrictions in place; enjoy moving while you can,220795517695819776,05/07/2012 08:25:28
welcome,Water,68,20,Welcome back to Jon B and Ann McA. Custard donuts from Neil. Rain from the sky,221160289595432960,06/07/2012 08:34:56
scratch,Water,68,20,"Scratch race, guess who won? Nice to see Connor back; Geoff has a nice scar",221517271179345920,07/07/2012 08:13:27
lovely,Water,67,19.4,"Lovely chocolate hob nobs. Well swum Nick at Calshott, good luck for the channel",222251802005995520,09/07/2012 08:52:13
steph,Water,66,18.9,Steph has delayed concussion; Mike Olizar has shingles; Haydn forgot his goggles,222603911356354560,10/07/2012 08:11:22
cassie,Water,66,18.9,Cassie Patten interviewed by Sky. Ted took the temp. Nick sent a message,222993279615123456,11/07/2012 09:58:35
lots,Water,64,17.8,"Lots of cup cakes from Nick, has he had a pay rise? No sign of the weed muncher",223330750894850048,12/07/2012 08:19:34
ladder,Water,65,18.3,Ladder is back; Robin did some painting; Peter Impey got a present,223695514858815488,13/07/2012 08:29:01
b2b,Water,64,17.8,"B2B won by Andrew, backstroke; Nick and Sakura both won the Great river race",224111213615919105,14/07/2012 12:00:51
nick,Water,64,17.8,Nick says we have 75 followers. Good Morning to you all. Weed Muncher out today,224785493441785856,16/07/2012 08:40:12
olympic,Water,64,17.8,Olympic restrictions have started. Nice to see Duff back after his operation,225508500363673601,18/07/2012 08:33:10
colin,Water,64,17.8,"Colin tried to get a suntan, Nick drank some water, Frances did a dive",225875798320615424,19/07/2012 08:52:41
warmer,Water,64,17.8,"Warmer next week? Boris swims to France on Sunday, Kirsty goes Wednesday",226233379828416512,20/07/2012 08:33:35
im,Water,72,22.2,"I\'m back. What a  week. 4 Serpers swam to France: Nick, Boris, Kristie, Dierdre",228786375569309696,27/07/2012 09:38:17
stuart,Water,70,21.1,Stuart interviewed by CNN; Frances told us about being in the opening ceremony,229862244685594624,30/07/2012 08:53:24
welcome,Water,68,20,"Welcome to Aaron Peirsol, world 100m backstroke record holder - he swims nicely!",230224804815450113,31/07/2012 08:54:05
getting,Water,67,19.4,Getting ready for tomorrow\'s Ladies\' Triathlon,232399346870661120,06/08/2012 08:54:56
ladies,Water,68,20,Ladies Triathlon,232399368555225088,06/08/2012 08:55:01
johns,Water,68,20,John\'s relay team swam to France. Fabik and Tullio swam Zurich in under 9 hours,232399383843454977,06/08/2012 08:55:05
guesstimates,Water,69,20.6,Guesstimates. Today is the Men\'s Triathlon,232777365799960576,07/08/2012 09:57:03
buoys,Water,70,21.1,"Buoys back in place, some with Olympic weights. Congrats to Tori for yesterday",235298414647185408,14/08/2012 08:54:48
nick,Water,70,21.1,Nick got a Serps cap; Tori had a big smile; Alan had a talkative T-shirt,235728912590725122,15/08/2012 13:25:27
interesting,Water,70,21.1,Interesting conversation about weight gain (and then loss) for Channel swimmers,236010911566016513,16/08/2012 08:06:00
apparently,Water,72,22.2,Apparently over 200 people in the Lido yesterday; nice and quiet this morning,237470188931526656,20/08/2012 08:44:39
dani,Water,72,22.2,"Dani found the \""lost\"" weight; Matthew moved a buoy; Cameron swam with Jess",237824403856031744,21/08/2012 08:12:11
james,Water,70,21.1,James on warden duty; Ron made some tea; Rod borrowed £10 from John,238205636935032832,22/08/2012 09:27:04
yesterday,Water,69,20.6,Yesterday: Good work in the Channel; excellent turnout for the Thames swim,238912290890600449,24/08/2012 08:15:03
raining,Water,68,20,Raining so it must be the Bank Holiday weekend. Telegraph race so no winners,239293065553125376,25/08/2012 09:28:07
nora,Water,62.5,16.9,Nora sat on a chair. Nick said we have 91 followers. Hello to you all.,241457636372004864,31/08/2012 08:49:21
huge,Water,64,17.8,Huge turnout for G Brutton race won by Anna. Cyril made a presentation to Ron,241819559638757376,01/09/2012 08:47:30
matthew,Water,64,17.8,Matthew recited a limerick; Andrew (Deeley) asked Frances a question,243990954250489856,07/09/2012 08:35:51
happy,Water,65,18.3,Happy Birthday Jenny. Steff said Good bye. Mark overslept. Rob talked,245438482405810176,11/09/2012 08:27:48
stuart,Water,61,16.1,"Stuart on warden duty, but no new members. Kevin and Rob had a short swim",248345582467428352,19/09/2012 08:59:35
surprise,Water,60,15.6,Surprise weekday visit from Brian. Miranda popped by and so did Volker and John,248699164635049984,20/09/2012 08:24:36
somebody,Water,60,15.6,Somebody left a Budweiser and pots of yoghurt for breakfast but no sugar for tea,249084870779887616,21/09/2012 09:57:15
rob,Water,57,13.9,Rob O. has lost 1 stone since his Channel crossing. Jeremy C shivered,250509656986882048,25/09/2012 08:18:51
general,Water,57,13.9,"General discussion agreed all Serpers are plebs, also that A Mitchel is an LLS",251239816522518529,27/09/2012 08:40:14
seething,Water,56.5,13.6,Seething masses for the 200 yard race; prizes from Tori who was not there,251968392901312512,29/09/2012 08:55:20
jenny,Water,53.5,11.9,"Jenny, Robert and swam 1km; Jon swam 2km. Richard and Helena did less",253412175530582016,03/10/2012 08:32:25
jenny,Water,53.5,11.9,"Jenny, Robert and Helena swam 1km; Jon swam 2km. Richard talked sailing",253532551170379776,03/10/2012 16:30:45
disturbing,Water,53,11.7,Disturbing rumours about a Serper inappropriately dressed.,254138762089603073,05/10/2012 08:39:37
ron,Water,50,10,Ron made tea; Rosie wore a hat; Robert and Frances talked psychiatry,258485844246151168,17/10/2012 08:33:22
ashwin,Water,50,10,"Ashwin was swimming, practising for tomorrow? Helena made me tea, thank you",259227986677616642,19/10/2012 09:42:22
ashwins,Water,50,10,"Ashwin\'s race, everyone a prize winner",259944047915986944,21/10/2012 09:07:45
peter,Water,61,,Peter Larrad back up from Poole;,259944537017950208,21/10/2012 09:09:41
peter,Water,61,,Peter Larrad back up from Poole; 6 hours on a bus for a 200 yard swim,259992099246718976,21/10/2012 12:18:41
peter,Water,51,10.6,Peter Larrad back up from Poole; 6 hours on a bus for a 200 yard swim,260110134284541952,21/10/2012 20:07:43
pim,Water,52,11.1,Pim in his wetsuit; the rest of us sensibly attired. Some people swam 1km,260656082098221057,23/10/2012 08:17:07
john,Water,52,11.1,"John Tierney talked, Nick borrowed some crocs, Alan bought a cap. Cake from John",261383205612032002,25/10/2012 08:26:27
thermometer,Water,56,13.3,Thermometer broken; estimates until replaced. Many swimmers more than 2 miles,331350135168716800,06/05/2013 10:10:03
bill,Water,51,10.6,"Bill Phipps race, won by Andy Deeley, prizes from Henrietta. Lots of laughs",338913243626098688,27/05/2013 07:03:08
surprise,Water,53,11.7,Surprise; the sun was out on a Bank Holiday Sunday. Whatever next? Some heat?,338913537302867968,27/05/2013 07:04:18
early,Water,59,15,"Early warning, the strandy spaghetti type algae is beginning to grow again",342198127434027008,05/06/2013 08:36:05
rob,Water,62,16.7,"Rob said he\'d try harder, Kevin agreed, however neither was there to prove it",342918780437032960,07/06/2013 08:19:43
john,Water,59.5,15.3,"John, George and Dani managed their 2 hrs. Deirdre and Tory set off round Manhat",344006294484692992,10/06/2013 08:21:06
not,Water,60,15.6,Not much news so enjoy the day anyway,344041203232296960,10/06/2013 10:39:49
5,Water,59,15,"5 really nice day so far this year, when is the next?",344373635949142016,11/06/2013 08:40:47
george,Water,59,15,George produced delicious chocolate hobnobs. A hint to others to do the same,344747024765300736,12/06/2013 09:24:30
ollie,Water,59.5,15.3,"Ollie lost a shoe, Mark took the temperature, Alan Mitchell made an appearance",345455180222959616,14/06/2013 08:18:27
im,Water,64,17.8,I\'m back on duty after wet and windy trip to Wales with lovely swimming,347269438602637313,19/06/2013 08:27:40
apologies,Water,66,18.9,Apologies to Warden Stuart for not getting him a cup of tea.,348002710446039040,21/06/2013 09:01:26
john,Water,64,17.8,John Tierney won the 1 mile race; all the other finishers followed him,348367744078598145,22/06/2013 09:11:57
jaki,Water,64,17.8,Jaki Henry George Alan and John swam 3k in Studland Bay watched by Peter Larrad,348865556130172929,23/06/2013 18:10:04
thanks,Water,65,18.3,Thanks to Ted for taking on the temperature duties today,349808389028720640,26/06/2013 08:36:33
jaki,Water,63,17.2,"Jaki wore a Channel Swimmer hat, Frances swam 1km, Ted did 800",350171899088736258,27/06/2013 08:41:01
jeremy,Water,64,17.8,"Jeremy got the milk, Frances got the sugar, somebody unknown provided biscuits",350526722300579840,28/06/2013 08:10:57
george,Water,63,17.2,"George won, when asked if he had he said \""I\'m not sure\"". Big laughter",350899260784513024,29/06/2013 08:51:17
lots,Water,64,17.8,"Lots of Serpers swam at Dover: Alan, Dani 2x Marks, George, 2xJohns etc",351434908041887744,30/06/2013 20:19:46
forgot,Water,68,20,Forgot to mention Kevin yesterday who helped Rob\'s girls manage 2 hours,351618246136430593,01/07/2013 08:28:17
oh,Water,66,18.9,"Oh dear me, we are still waiting for the 10th day of sunshine this year",352349091151360001,03/07/2013 08:52:24
george,Water,66,18.9,"George, Dani, John and self off to Hungary for the Lake Balaton swim till Monday",353070767040249857,05/07/2013 08:40:05
summer,Water,70,21.1,"Summer at last,;new fridge; ugly Darcy in the Serps. Back from Lake Balaton",354156671003664386,08/07/2013 08:35:04
lots,Water,70,21.1,Lots of sensible swimmers had a gentle potter on this gorgeous summer day,354879212462673920,10/07/2013 08:26:12
jaki,Water,68,20,"Jaki wardened, Boris and Will swam, so did George\'s Jessica, nice new fridge",355241955845869568,11/07/2013 08:27:37
neil,Water,68,20,Neil was back with his donuts. Anthony bought some milk. The BBC were there,355606202341801985,12/07/2013 08:35:00
georgeous,Water,70,21.1,"Georgeous day, B2B won by Henry F-B. Must have had a good h\'cap",355997653823258624,13/07/2013 10:30:29
seemed,Water,72,22.2,Seemed rather quiet after the activity at the River Swim yesterday evening,357063355795640322,16/07/2013 09:05:12
lots,Water,76,24.4,Lots of Channel swimmers talking about their next project.,357417310392291328,17/07/2013 08:31:41
please,Water,75,23.9,Please don\'t complain about this fabulous weather. I had a lovely swim with Cat,358144758679486464,19/07/2013 08:42:19
andy,Water,74,23.3,Andy raved about diving in Mexico; Brodie had a swim; Sarah has a very bad rash,359586878225268737,23/07/2013 08:12:47
john,Water,74,23.3,John L. helped out a wounded cyclist; Anthony C. swam 1km,359949760129544192,24/07/2013 08:14:45
congratulations,Water,72,22.2,Congratulations to Tullio who got married last month. Best wishes,361047597290500096,27/07/2013 08:57:09
please,Water,71,21.7,Please send your best wishes for recovery to Jon Benton who is still in hospital,361777965689876480,29/07/2013 09:19:23
lots,Water,70,21.1,Lots of lovely heavy rain after all this horrible hot weather. Enjoy it!!,362140950308458496,30/07/2013 09:21:45
george,Water,69,20.6,"George managed 2.5km, Ted did 1 mile, we others did less",362491986864914432,31/07/2013 08:36:39
george,Water,69,20.6,George needs a team for the Hampstead Biathlon Sept 1. Details available from G,362853009878814720,01/08/2013 08:31:13
thunder,Water,72,22.2,Thunder and lightning so everybody in rubber was well protected. Poor swimmers,363217820617678849,02/08/2013 08:40:51
1st,Water,70,21.1,1st Prize from Neil Price to Angela Johnson; all others finished behind,363591262525325312,03/08/2013 09:24:46
stuart,Water,70,21.1,"Stuart sugared my tea. The 300 yard buoy has been taken away, yet again",365389081372409857,08/08/2013 08:28:40
wonderful,Water,68,20,Wonderful to see Jon Benton back with a huge smile on his lovely face,365752937189883904,09/08/2013 08:34:30
jonathan,Water,70,21.1,"Jonathan and Laurie gave some lovely prizes, winner was Sakura bride to be",366120139546046464,10/08/2013 08:53:38
wetsuiters,Water,66,18.9,Wetsuiters wear suits to keep warm but they are 1st out when it gets cold,367935034298482688,15/08/2013 09:05:22
andrew,Water,66,18.9,"Andrew Fuller\'s medley relay and speech, the latter more enjoyable",368654667170844672,17/08/2013 08:44:56
janna,Water,65,18.3,"Janna on warden duty, Cb\'s from Ted, interesting talk about sailing",369391891571150848,19/08/2013 09:34:24
claire,Water,68,20,"Claire won the race, Nick looked apprehensive, the rain came down",371204317841489920,24/08/2013 09:36:20
emily,Water,66,18.9,"Emily and Frances had a long chat with Boris, I sat and listened, yes really",372654029022957569,28/08/2013 09:36:58
paddy,Water,67,19.4,"Paddy was wardening, David and Merlin talked Geology",373063261014732800,29/08/2013 12:43:07
george,Water,66,18.9,George Brutton\'s race won by Matthew; some went on to the Great River Race,373769551609339904,31/08/2013 11:29:40
volker,Water,66,18.9,Volker wardened. Anthony and Simon breakfasted with a Russian. Mitchell swam,374814062804480000,03/09/2013 08:40:10
john,Water,68,20,"John, Dani and Irene off to France, see you there",377146413920292864,09/09/2013 19:08:06
surrounded,Water,61,16.1,"Surrounded by wetsuiters, mostly Mexican, for the Big Event this Saturday",377366356599275520,10/09/2013 09:42:05
lots,Water,61,16.1,Lots of activity on the other side of the Serpentine. On our side we just swam,378813401159716864,14/09/2013 09:32:07
thanks,Water,59,15,Thanks to John Reid for milk and biscuits,382056125186990080,23/09/2013 08:17:33
another,Water,59,15,Another one of those gorgeous Serpentine mornings enjoyed by all swimmers,382440143183167488,24/09/2013 09:43:30
another,Water,59,15,"Another wonderful morning, everybody on tip top form. Jaki made tea for me. Thks",382779337038372864,25/09/2013 08:11:20
another,Water,59,15,Another wonderful day. Leanne had a breakfast chat with Frances and Emily,383276080595238912,26/09/2013 17:05:13
jon,Water,59,15,Jon Benton asked me to be quiet; everybody thought it was a good idea,383512806282522624,27/09/2013 08:45:53
happy,Water,58,14.4,Happy Birthday to John Luckhurst but he brought no cake or biscuits,384593626304888832,30/09/2013 08:20:40
police,Water,57,13.9,"Police on a blitz against cycling in the Park, fining them £60. Bastards!",384953017608699904,01/10/2013 08:08:46
david,Water,57,13.9,David introduced his new dog whose Swahili name doesn\'t translate as Doglet,385322630003572736,02/10/2013 08:37:28
alixs,Water,57,13.9,"Alix\'s new book will be published next year, she is \""over the moon\""",385680915042947072,03/10/2013 08:21:10
david,Water,57,13.9,David introduced his new dog whose Swahili name doesn\'t translate as Doglet,385680952745558016,03/10/2013 08:21:19
cyril,Water,59,15,"Cyril Wood Cup won by Mike Olizar in race 1, Boris was 2nd in race 2",386423438711480320,05/10/2013 09:31:41
david,Water,59,15,David Mackertich wanted his name in print so David here you are!!,387506701253218304,08/10/2013 09:16:11
lots,Water,54,12.2,Lots of excitement yesterday with the Clintons walking by and chatting,388946323833372672,12/10/2013 08:36:44
andy,Water,52,11.1,Andy Deeley wore a dry suit and did the buoys. I wore a wetsuit and helped,391159585916350464,18/10/2013 11:11:27
buoys,Water,54,12.2,Buoys now in correct place for 100 yd races. David didn\'t see moon eclipse,392205191711555584,21/10/2013 08:26:19
requests,Water,55,12.8,Requests have been made for an ongoing saga so Chapter 2 tomorrow...,392570644589993984,22/10/2013 08:38:29
phil,Water,55,12.8,"Phil Eade author got married last Friday. If you haven\' t read his books, do so",392931760398663680,23/10/2013 08:33:26
james,Water,54,12.2,"James Norton was in the water when I arrived, still in when I left.",393290899750662144,24/10/2013 08:20:32
flora,Water,54,12.2,"Flora took a photo of three arses but refused a photo of her \""front\""",393653559822385152,25/10/2013 08:21:37
alan,Water,54,12.2,Alan Mitchell came up with a great tweet for today which we have both forgotten,394020132521275392,26/10/2013 08:38:14
serps,Water,54,12.2,"Serps very, very very crowded. I swam at Hampton with George and family",394412705748357120,27/10/2013 10:38:11
really,Water,52,11.1,Really not much to say today except we Serps swimmers are a wonderful group,395840106579632128,31/10/2013 09:10:10
flora,Water,52,11.1,Flora and her gang did press ups; the rest of us swam and eat Jaffa Cakes,396201998703673345,01/11/2013 09:08:12
1st,Water,52,11.1,"1st winter series races, some interesting handicapping, the handicapper won his",396571853013413888,02/11/2013 09:37:52
temps,Water,46,,Temps by Alan. I have a filthy cold. I hope I get better soon as I miss the serp,398011338846658560,06/11/2013 08:57:52
alan,Water,45,,Alan L. Rob O. and Robin upheld Serps honour at the Bec. Serps team came 3rd,442628880135122944,09/03/2014 11:52:03
jcr,Water,50,10,"JCR talked, Rod temperatured, Frances laughed, George wore his awful trunks",450553153466171392,31/03/2014 08:40:17
gorgeous,Water,50.5,10.3,Gorgeous morning. This date last year water was 32,450912005906776064,01/04/2014 08:26:14
rod,Water,23,,"Rod is doing sterling work for the club, well deserves his committee place",451274905351618560,02/04/2014 08:28:16
rod,Water,52,11.1,"Rod is doing sterling work for the club, well deserves his committee place",451296510018617344,02/04/2014 09:54:07
drizzle,Water,53,11.7,"Drizzle cake from Paddy. I was silent for more than 1 minute, smiles from all",451639263801901057,03/04/2014 08:36:06
stimulating,Water,54,12.2,Stimulating discussion yesterday about F &amp; C. What\'s the next subject?,452029179677409280,04/04/2014 10:25:29
maggs,Water,52,11.1,Maggs Races. Worthy winners were Luckhurst junior and Journalist Rod,452374325476487168,05/04/2014 09:16:58
alan,Water,57,13.9,"Alan Lacy\'s breaststroke race Volker was first Haydn was last, others finished",454905140148191232,12/04/2014 08:53:31
300,Water,54,12.2,300 yard marker buoy just repainted. Many swimmers enjoyed a sunny breakfast,455278414124306432,13/04/2014 09:36:47
volker,Water,54,12.2,Volker and Sara W spoke English together. Sara showed her Marathon blister,455632748058017792,14/04/2014 09:04:47
ros,Water,55,12.8,"Ros doing excellent warden work, Alix is back from USA, hot x buns from me",458520862799704064,22/04/2014 08:21:07
merlin,Water,56,13.3,Merlin said: Journalists give the facts but not necessarily the truth,459249450192752640,24/04/2014 08:36:16
eliza,Water,54,12.2,Eliza won Ron\'s race. Compliments paid to Stuart on the elegance of his stroke,459978600742412288,26/04/2014 08:53:39
lovely,Water,54,12.2,Lovely photo of the Gooselets with their loving parents from John Tierney,460372833596489728,27/04/2014 11:00:11
francess,Water,55,12.8,Frances\'s daughter\'s birthday cake was delicious. Stuart smiled yet again,460697348507963392,28/04/2014 08:29:41
lovely,Water,56,13.3,Lovely sunny day lots of lovely swimmers some in rubber,461539949276594177,30/04/2014 16:17:53
alix,Water,56,13.3,Alix Christie\'s book Guthenberg\'s Apprentice is brilliant. A must read,461539972802445312,30/04/2014 16:17:59
question,Water,56,13.3,Question? Is it difficult to pee while swimming some find is easy others don\'t,462147707063529472,02/05/2014 08:32:54
deirdre,Water,58,14.4,Deirdre wardened Julian and Anisa are back Jeremy Cav has a cracked rib,463602187302879233,06/05/2014 08:52:29
gordon,Water,58,14.4,Gordon sang a song but nobody applauded. Rod made some excellent teas,463971964621561856,07/05/2014 09:21:51
excellent,Water,58,14.4,Excellent service from the NHS so hopefully soon my new hip will be in place,464689346772488192,09/05/2014 08:52:28
bleak,Water,56,13.3,Bleak Westerly wind did not deter swimmers enthusiasm for activity and breakfast,465425811890503680,11/05/2014 09:38:55
convoluted,Water,56,13.3,"Convoluted conversation about the size of balls In Hawick, not sure why",466138614389571584,13/05/2014 08:51:20
sailing,Water,57,13.9,Sailing with Tony and Jane winners of boat day raffle at Xmas dinner,466869492019376128,15/05/2014 09:15:35
gorgeous,Water,58,14.4,Gorgeous sunny day Rob splashed me wonderful cake from new member Fiona,466869766549155841,15/05/2014 09:16:41
60,Water,60,15.6,60 and rising like the wetsuiters The three unmentionables splashed me,467219387167309826,16/05/2014 08:25:57
alan,Water,62,16.7,Alan. Titmuss race won by Rob O and john Reid Vet,467593025972363264,17/05/2014 09:10:39
23,Water,65,18.3,23 years marriage for Rob and Mrs Rob. George\'s girls swam for 1 hour,467969483039322112,18/05/2014 10:06:33
deeley,Water,65,18.3,Deeley hit Mark FW\'s nose. Frances ticked off some wetsuiters. Rod rodded,468309515059097600,19/05/2014 08:37:43
deirdre,Water,65,18.3,Deirdre wardened beautifully. Hawick Balls from Laura much enjoyed. Thanks,468671157324238848,20/05/2014 08:34:46
dani,Water,65,18.3,Dani got technical but although nobody understood we were all impressed,469065244011425792,21/05/2014 10:40:43
george,Water,65,18.3,George got debagged twice Tori swam very elegantly algae building rapidly,469398226727337984,22/05/2014 08:43:52
haydn,Water,63,17.2,Haydn won the Bill Phipps race in very wet conditions with cake made by  Rosie,470127371765706752,24/05/2014 09:01:14
somebody,Water,61,16.1,Somebody has broken the thermometer so I have ordered a new one,471216263457685504,27/05/2014 09:08:06
flora,Water,61,16.1,"Flora, Andy and Bee qualified, Steve Newells\' thermometer recorded the temp",472294686242390016,30/05/2014 08:33:22
relay,Water,62,16.7,"Relay race won by G,T,S, and M. Sun was out so were the Triathletes",472671009389412352,31/05/2014 09:28:45
noe,Water,64,17.8,Noe the triathlon excitement is over we real swimmers can get back to work,473380920553385985,02/06/2014 08:29:41
excellent,Water,64,17.8,"Excellent Thames swim last night, Ted has offered to do the temp in my absence",474106725604540416,04/06/2014 08:33:46
isabel,Water,64,17.8,Isabel misread my all Serps email and then turned me down for a quickie,474468547587227648,05/06/2014 08:31:31
d,Water,63,17.2,D Day remembered. Temperature disagreements continue despite new thermometer,474838428388179968,06/06/2014 09:01:18
im,Water,64,17.8,"I\'m away in Scotland, Temperatures taken by Ted. Thank you Ted",478482752468443137,16/06/2014 10:22:32
im,Water,64,17.8,"I\'m away in Scotland, Temperatures taken by Ted. Thank you Ted",478482863126745088,16/06/2014 10:22:59
im,Water,64,17.8,"I\'m away in Scotland, Temperatures taken by Ted. Thank you Ted",478482965358735360,16/06/2014 10:23:23
im,Water,66,18.9,"I\'m away in Scotland, Temperatures taken by Ted. Thank you Ted",478483115703545856,16/06/2014 10:23:59
scorchingim,Water,68,20,"Scorching!I\'m away in Scotland, Temperatures taken by Ted. Thank you Ted",478483269730975744,16/06/2014 10:24:35
im,Water,68,20,"I\'m away in Scotland, Temperatures taken by Ted. Thank you Ted",478483386177421312,16/06/2014 10:25:03
im,Water,70,21.1,"I\'m away in Scotland, Temperatures taken by Ted. Thank you Ted",478483479630712832,16/06/2014 10:25:25
im,Water,66,18.9,"I\'m away in Scotland, Temperatures taken by Ted. Thank you Ted",478483615182245888,16/06/2014 10:25:58
im,Water,68,20,"I\'m away in Scotland, Temperatures taken by Ted. Thank you Ted",478483754617696256,16/06/2014 10:26:31
gordon,Water,68,20,Gordon recited a Rudyard Kipling poem about the Thames. A wonderful treat for us,479177668328714240,18/06/2014 08:23:53
jeremy,Water,69,20.6,Jeremy needs entries for River Nene otherwise it\'s cancelled,479537671308840960,19/06/2014 08:14:24
feels,Water,72,22.2,Feels like summer although the days are getting shorter but algae getting longer,480993877462380545,23/06/2014 08:40:51
karen,Water,70,21.1,Karen wore my cap Bdays for Andy M(30) and Mike B(33) Tierney talked i listened,481350983650639873,24/06/2014 08:19:52
apologies,Water,70,21.1,"Apologies for delay I was at the eye hospital, I need a cataract operation",481888092824276992,25/06/2014 19:54:09
cock,Water,70,21.1,Cock a Doodle Doo as the cock said to his wife not sure what geese and swans say,482076976048795648,26/06/2014 08:24:42
supper,Water,70,21.1,Supper at my place with first course of tasty green Serpentine soup,482438439766601728,27/06/2014 08:21:01
jaki,Water,68,20,"Jaki, Frances, James, Norm, Flora, George, Bee, Will, Anne, Jeremy etc all swam",483888765308772352,01/07/2014 08:24:06
commiserations,Water,69,20.6,Commiserations to the two relay teams not completing the world\'s toughest swim,484257883924987904,02/07/2014 08:50:51
jaki,Water,70,21.1,Jaki debagged Rob who splashed me. Kevin swam flutterby,484619995650215936,03/07/2014 08:49:45
cycled,Water,71,21.7,Cycled via Regents Canal to Olympic Park and had a glorious swim in the pool,485347333430079488,05/07/2014 08:59:56
800,Water,72,22.2,800 Scratch Race. Guess who won? Committee meeting. Sailing tomorrow,485347628553891840,05/07/2014 09:01:06
jaki,Water,70,21.1,Jaki tried to debag me unsuccessfully. Flora got lots of hugs. Ted swam a mile,486424268767756289,08/07/2014 08:19:17
lots,Water,69,20.6,Lots of excitement but nobody told me why. 5 donuts from Neil. Delicious,486784503344816130,09/07/2014 08:10:44
george,Water,66,18.9,"George spoke some Hungarian, I spoke 2 words of Finnish, Cath Cinnamon wardened",487152698228506624,10/07/2014 08:33:48
linda,Water,65,18.3,Linda celebrated Serping with cake and cream. George put Sara W on his tandem,487514569787854848,11/07/2014 08:31:45
bridge,Water,65,18.3,Bridge 2 Bridge won by warden Ros. Well done to all with special thanks 2 Duff,487893894135558145,12/07/2014 09:39:03
swimming,Water,68,20,Swimming is better for you than watching football,488252529604853760,13/07/2014 09:24:09
happy,Water,72,22.2,Happy Birthday to President Norm and Brother Jeremy. See you tonite at the Thame,489702125820444672,17/07/2014 09:24:19
enjoy,Water,73,22.8,Enjoy working today I am off to Lords for some entertainment,490046127967068160,18/07/2014 08:11:16
brian,Water,75,23.9,Brian won Rosie\'s 1 mle race. Cyril and Yvonne made a welcome visit,490429690470203392,19/07/2014 09:35:24
kevin,Water,75,23.9,Kevin swam some butterfly,491497354168901633,22/07/2014 08:17:55
kevin,Water,73,22.8,"Kevin is doing 1 miles butterfly, George and I did 5 strokes each",491497753722494977,22/07/2014 08:19:30
rob,Water,74,23.3,Rob splashed me Andy arm wreslted me Mirand hugged me Lucky Me,491861940919357440,23/07/2014 08:26:39
rob,Water,74,23.3,Rob splashed me Andy arm wrestled me Miranda hugged me Lucky Me,491862279462592512,23/07/2014 08:28:00
pole,Water,74,23.3,pole pole ya kobe hunma fisha mbali is a wonderful Swahili saying.,492232830274260992,24/07/2014 09:00:26
rob,Water,74,23.3,Rob made me a cup of tea and I made one for Mould. Chris talked with Frances,492606925390245888,25/07/2014 09:46:57
full,Water,74,23.3,"Full complement of swimmers all talking at the same time, some even swam",492969326233022464,26/07/2014 09:47:00
ted,Water,74,23.3,Ted took the temperature. Well done Ted,493675996659609600,28/07/2014 08:35:04
lots,Water,73,22.8,Lots of swimmers on standby for swim to France weather looks reasonable,494036663442874368,29/07/2014 08:28:13
oh,Water,71,21.7,Oh Bliss oh Rapture unforeseen as the algae encroach on our territory,494408437145817088,30/07/2014 09:05:31
another,Water,73,22.8,Another lovely day although the spaghetti field is getting thicker,494761520166105088,31/07/2014 08:28:33
lovely,Water,74,23.3,Lovely breakfast with Alix. Flora covered in mosquito bites. Bad Channel weather,495136187632586753,01/08/2014 09:17:20
