#,Name,Type,Total,HP,Attack,Defense,Sp_Atk,Sp_Def,Speed
,,ROCK,,,,,,,
112,Rhydon,GROUND,485,105,130,120,45,45,40
,,ROCK,,,,,,,
113,Chansey,NORMAL,450,250,5,5,35,105,50
114,Tangela,GRASS,435,65,55,115,100,40,60
115,Kangaskhan,NORMAL,490,105,95,80,40,80,90
116,Horsea,WATER,295,30,40,70,70,25,60
117,Seadra,WATER,440,55,65,95,95,45,85
118,Goldeen,WATER,320,45,67,60,35,50,63
119,Seaking,WATER,450,80,92,65,65,80,68
120,Staryu,WATER,340,30,45,55,70,55,85
121,Starmie,WATER,520,60,75,85,100,85,115
,,PSYCHIC,,,,,,,
122,Mr. Mime,PSYCHIC,460,40,45,65,100,120,90
,,FAIRY,,,,,,,
123,Scyther,BUG,500,70,110,80,55,80,105
,,FLYING,,,,,,,
124,Jynx,ICE,455,65,50,35,115,95,95
,,PSYCHIC,,,,,,,
125,Electabuzz,ELECTRIC,490,65,83,57,95,85,105
126,Magmar,FIRE,495,65,95,57,100,85,93
127,Pinsir,BUG,500,65,125,100,55,70,85
128,Tauros,NORMAL,490,75,100,95,40,70,110
129,Magikarp,WATER,200,20,10,55,15,20,80
130,Gyarados,WATER,540,95,125,79,60,100,81
,,FLYING,,,,,,,
131,Lapras,WATER,535,130,85,80,85,95,60
,,ICE,,,,,,,
132,Ditto,NORMAL,288,48,48,48,48,48,48
133,Eevee,NORMAL,325,55,55,50,45,65,55
134,Vaporeon,WATER,525,130,65,60,110,95,65
135,Jolteon,ELECTRIC,525,65,65,60,110,95,130
136,Flareon,FIRE,525,65,130,60,95,110,65
137,Porygon,NORMAL,395,65,60,70,85,75,40
138,Omanyte,ROCK,355,35,40,100,90,55,35
,,WATER,,,,,,,
139,Omastar,ROCK,495,70,60,125,115,70,55
,,WATER,,,,,,,
140,Kabuto,ROCK,355,30,80,90,55,45,55
,,WATER,,,,,,,
141,Kabutops,ROCK,495,60,115,105,65,70,80
,,WATER,,,,,,,
142,Aerodactyl,ROCK,515,80,105,65,60,75,130
,,FLYING,,,,,,,
143,Snorlax,NORMAL,540,160,110,65,65,110,30
144,Articuno,ICE,580,90,85,100,95,125,85
,,FLYING,,,,,,,
145,Zapdos,ELECTRIC,580,90,90,85,125,90,100
,,FLYING,,,,,,,
146,Moltres,FIRE,580,90,100,90,125,85,90
,,FLYING,,,,,,,
147,Dratini,DRAGON,300,41,64,45,50,50,50
148,Dragonair,DRAGON,420,61,84,65,70,70,70
149,Dragonite,DRAGON,600,91,134,95,100,100,80
,,FLYING,,,,,,,
150,Mewtwo,PSYCHIC,680,106,110,90,154,90,130
151,Mew,PSYCHIC,600,100,100,100,100,100,100
