Episode,Pokemon
EP088,Caterpie
EP088,Weedle
EP088,Pidgey
EP088,Nidoran?
EP088,Nidoran?
EP088,Nidoking
EP088,Vileplume
EP088,Paras
EP088,Venonat
EP088,Diglett
EP088,Mankey
EP088,Primeape
EP088,Bellsprout
EP088,Exeggutor
EP088,Rhyhorn
EP088,Rhydon
EP088,Pidgeotto
EP088,Rattata
EP088,Oddish
EP088,Venonat
EP088,Poliwhirl
EP088,Bellsprout
EP088,Geodude
EP088,Scyther
EP088,Electabuzz
EP088,Rattata
EP088,Dodrio
EP089,Pikachu
EP089,Meowth
EP089,Togepi
EP089,Squirtle
EP089,Lapras
EP089,Goldeen
EP089,Staryu
EP089,Growlithe
EP089,Machoke
EP089,Rhydon
EP089,Kabuto
EP090,Pikachu
EP090,Meowth
EP090,Togepi
EP090,Squirtle
EP090,Staryu
EP090,Psyduck
EP090,Marill
EP090,Weezing
EP090,Victreebel
EP090,Raichu
EP090,Clefable
EP090,Abra
EP090,Machoke
EP090,Hitmonchan
EP090,Chansey
EP090,Mr. Mime
EP090,Jynx
EP091,Pikachu
EP091,Meowth
EP091,Togepi
EP091,Squirtle
EP091,Lapras
EP091,Goldeen
EP091,Staryu
EP091,Psyduck
EP091,Marill
EP091,Arbok
EP091,Tentacruel
EP091,Psyduck
EP091,Starmie
EP091,Golduck
EP091,Tentacool
EP091,Wartortle
EP091,Seel
EP091,Krabby
EP091,Horsea
EP091,Goldeen
EP091,Seaking
EP091,Marill
EP091,Squirtle
EP091,Poliwag
EP091,Poliwrath
EP091,Kingler
EP091,Staryu
EP092,Pikachu
EP092,Meowth
EP092,Togepi
EP092,Bulbasaur
EP092,Squirtle
EP092,Lapras
EP092,Staryu
EP092,Psyduck
EP092,Marill
EP092,Chansey
EP092,Magikarp
EP092,Gyarados
EP092,Kingler
EP092,Spearow
EP092,Sandshrew
EP092,Vileplume
EP092,Poliwag
EP092,Geodude
EP092,Onix
EP092,Mankey
EP092,Jigglypuff
