Evolving_from,Evolving_to,Level,Condition,Evolution_Type
Electrike,Manectric,26,,Level
Gulpin,Swalot,26,,Level
Carvanha,Sharpedo,30,,Level
Wailmer,Wailord,40,,Level
Numel,Camerupt,33,,Level
Spoink,Grumpig,32,,Level
Trapinch,Vibrava,35,,Level
Vibrava,Flygon,45,,Level
Cacnea,Cacturne,32,,Level
Swablu,Altaria,35,,Level
Barboach,Whiscash,30,,Level
Corphish,Crawdaunt,30,,Level
Baltoy,Claydol,36,,Level
Lileep,Cradily,40,,Level
Anorith,Armaldo,40,,Level
Shuppet,Banette,37,,Level
Duskull,Dusclops,37,,Level
Snorunt,Glalie,42,,Level
Spheal,Sealeo,32,,Level
Sealeo,Walrein,44,,Level
Bagon,Shelgon,30,,Level
Shelgon,Salamence,50,,Level
Beldum,Metang,20,,Level
Metang,Metagross,45,,Level
Turtwig,Grotle,18,,Level
Grotle,Torterra,32,,Level
Chimchar,Monferno,14,,Level
Monferno,Infernape,36,,Level
Piplup,Prinplup,16,,Level
Prinplup,Empoleon,36,,Level
Starly,Staravia,14,,Level
Staravia,Staraptor,34,,Level
Bidoof,Bibarel,15,,Level
Kricketot,Kricketune,10,,Level
Shinx,Luxio,15,,Level
Luxio,Luxray,30,,Level
Cranidos,Rampardos,30,,Level
Shieldon,Bastiodon,30,,Level
Burmy,Mothim,20,Male,Level
Burmy,Wormadam,20,"Female, outside",Level
,Plant Cloak,,,Level
Burmy,Wormadam,20,"Female, in caves",Level
,Sandy Cloak,,,Level
Burmy,Wormadam,20,"Female, in buildings",Level
,Trash Cloak,,,Level
Combee,Vespiquen,21,Female,Level
Buizel,Floatzel,26,,Level
Cherubi,Cherrim,25,,Level
Shellos,Gastrodon,30,,Level
Drifloon,Drifblim,28,,Level
Glameow,Purugly,38,,Level
Stunky,Skuntank,34,,Level
Bronzor,Bronzong,33,,Level
Gible,Gabite,24,,Level
Gabite,Garchomp,48,,Level
Hippopotas,Hippowdon,34,,Level
Skorupi,Drapion,40,,Level
Croagunk,Toxicroak,37,,Level
Finneon,Lumineon,31,,Level
Snover,Abomasnow,40,,Level
Snivy,Servine,17,,Level
Servine,Serperior,36,,Level
Tepig,Pignite,17,,Level
Pignite,Emboar,36,,Level
Oshawott,Dewott,17,,Level
Dewott,Samurott,36,,Level
Patrat,Watchog,20,,Level
Lillipup,Herdier,16,,Level
Herdier,Stoutland,32,,Level
Purrloin,Liepard,20,,Level
Pidove,Tranquill,21,,Level
Tranquill,Unfezant,32,,Level
Blitzle,Zebstrika,27,,Level
Roggenrola,Boldore,25,,Level
Drilbur,Excadrill,31,,Level
Timburr,Gurdurr,25,,Level
Tympole,Palpitoad,25,,Level
Palpitoad,Seismitoad,36,,Level
Sewaddle,Swadloon,20,,Level
Venipede,Whirlipede,22,,Level
Whirlipede,Scolipede,30,,Level
Sandile,Krokorok,29,,Level
Krokorok,Krookodile,40,,Level
Darumaka,Darmanitan,35,,Level
,Standard Mode,,,Level
Dwebble,Crustle,34,,Level
Scraggy,Scrafty,39,,Level
Yamask,Cofagrigus,34,,Level
Tirtouga,Carracosta,37,,Level
Archen,Archeops,37,,Level
Trubbish,Garbodor,36,,Level
Zorua,Zoroark,30,,Level
Gothita,Gothorita,32,,Level
Gothorita,Gothitelle,41,,Level
Solosis,Duosion,32,,Level
Duosion,Reuniclus,41,,Level
Ducklett,Swanna,35,,Level
Vanillite,Vanillish,35,,Level
Vanillish,Vanilluxe,47,,Level
Deerling,Sawsbuck,34,,Level
Foongus,Amoonguss,39,,Level
Frillish,Jellicent,40,,Level
Joltik,Galvantula,36,,Level
Ferroseed,Ferrothorn,40,,Level
Klink,Klang,38,,Level
Klang,Klinklang,49,,Level
Tynamo,Eelektrik,39,,Level
Elgyem,Beheeyem,42,,Level
Litwick,Lampent,41,,Level
Axew,Fraxure,38,,Level
Fraxure,Haxorus,48,,Level
Cubchoo,Beartic,37,,Level
Mienfoo,Mienshao,50,,Level
Golett,Golurk,43,,Level
Pawniard,Bisharp,52,,Level
Rufflet,Braviary,54,,Level
Vullaby,Mandibuzz,54,,Level
Deino,Zweilous,50,,Level
Zweilous,Hydreigon,64,,Level
Larvesta,Volcarona,59,,Level
Chespin,Quilladin,16,,Level
Quilladin,Chesnaught,36,,Level
Fennekin,Braixen,16,,Level
Braixen,Delphox,36,,Level
Froakie,Frogadier,16,,Level
Frogadier,Greninja,36,,Level
Bunnelby,Diggersby,20,,Level
Fletchling,Fletchinder,17,,Level
Fletchinder,Talonflame,35,,Level
Scatterbug,Spewpa,9,,Level
Spewpa,Vivillon,12,,Level
Litleo,Pyroar,35,,Level
Flabébé,Floette,19,,Level
Skiddo,Gogoat,32,,Level
Pancham,Pangoro,32,with a Dark type Pokémon in party,Level
Espurr,Meowstic,25,,Level
,Male,,,Level
Honedge,Doublade,35,,Level
Inkay,Malamar,30,holding 3DS upside down,Level
Binacle,Barbaracle,39,,Level
Skrelp,Dragalge,48,,Level
Clauncher,Clawitzer,37,,Level
Tyrunt,Tyrantrum,39,Daytime,Level
Amaura,Aurorus,39,Nighttime,Level
Goomy,Sliggoo,40,,Level
Sliggoo,Goodra,55,during rain,Level
Bergmite,Avalugg,37,,Level
Noibat,Noivern,48,,Level
Pikachu,Raichu,,Thunderstone,Stone
Nidorina,Nidoqueen,,Moon Stone,Stone
Nidorino,Nidoking,,Moon Stone,Stone
Clefairy,Clefable,,Moon Stone,Stone
Vulpix,Ninetales,,Fire Stone,Stone
Jigglypuff,Wigglytuff,,Moon Stone,Stone
Gloom,Vileplume,,Leaf Stone,Stone
Gloom,Bellossom,,Sun Stone,Stone
Growlithe,Arcanine,,Fire Stone,Stone
Poliwhirl,Poliwrath,,Water Stone,Stone
Weepinbell,Victreebel,,Leaf Stone,Stone
Shellder,Cloyster,,Water Stone,Stone
Exeggcute,Exeggutor,,Leaf Stone,Stone
Staryu,Starmie,,Water Stone,Stone
Eevee,Vaporeon,,Water Stone,Stone
Eevee,Jolteon,,Thunderstone,Stone
Eevee,Flareon,,Fire Stone,Stone
Togetic,Togekiss,,Shiny Stone,Stone
Sunkern,Sunflora,,Sun Stone,Stone
Murkrow,Honchkrow,,Dusk Stone,Stone
Misdreavus,Mismagius,,Dusk Stone,Stone
Lombre,Ludicolo,,Water Stone,Stone
Nuzleaf,Shiftry,,Leaf Stone,Stone
Kirlia,Gallade,,Dawn Stone (Male),Stone
Skitty,Delcatty,,Moon Stone,Stone
Roselia,Roserade,,Shiny Stone,Stone
Snorunt,Froslass,,Dawn Stone (Female),Stone
Pansage,Simisage,,Leaf Stone,Stone
Pansear,Simisear,,Fire Stone,Stone
Panpour,Simipour,,Water Stone,Stone
Munna,Musharna,,Moon Stone,Stone
Cottonee,Whimsicott,,Sun Stone,Stone
Petilil,Lilligant,,Sun Stone,Stone
Minccino,Cinccino,,Shiny Stone,Stone
Eelektrik,Eelektross,,Thunderstone,Stone
Lampent,Chandelure,,Dusk Stone,Stone
Floette,Florges,,Shiny Stone,Stone
Doublade,Aegislash,,Dusk Stone,Stone
,Blade Forme,,,Stone
Doublade,Aegislash,,Dusk Stone,Stone
,Shield Forme,,,Stone
Helioptile,Heliolisk,,Sun Stone,Stone
Poliwhirl,Politoed,,King's Rock,Trade
Kadabra,Alakazam,,,Trade
Machoke,Machamp,,,Trade
Graveler,Golem,,,Trade
Slowpoke,Slowking,,King's Rock,Trade
Haunter,Gengar,,,Trade
Onix,Steelix,,Metal Coat,Trade
Rhydon,Rhyperior,,Protector,Trade
Seadra,Kingdra,,Dragon Scale,Trade
Scyther,Scizor,,Metal Coat,Trade
Electabuzz,Electivire,,Electrizer,Trade
Magmar,Magmortar,,Magmarizer,Trade
Porygon,Porygon2,,Up-Grade,Trade
Porygon2,Porygon-Z,,Dubious Disc,Trade
Feebas,Milotic,,Prism Scale,Trade
Dusclops,Dusknoir,,Reaper Cloth,Trade
Clamperl,Huntail,,Deepseatooth,Trade
Clamperl,Gorebyss,,Deepseascale,Trade
Boldore,Gigalith,,,Trade
Gurdurr,Conkeldurr,,,Trade
Karrablast,Escavalier,,Trade with Shelmet,Trade
Shelmet,Accelgor,,Trade with Karrablast,Trade
Spritzee,Aromatisse,,Trade holding Sachet,Trade
Swirlix,Slurpuff,,Trade holding Whipped Dream,Trade
Phantump,Trevenant,,,Trade
Pumpkaboo,Gourgeist,,,Trade
Average Size,Average Size,,,Trade
Magneton,Magnezone,,in Mt. Coronet or Chargestone Cave,Other
Tyrogue,Hitmonlee,20,Attack > Defense,Other
Tyrogue,Hitmonchan,20,Attack < Defense,Other
Tyrogue,Hitmontop,20,Attack = Defense,Other
Lickitung,Lickilicky,,after Rollout learned,Other
Happiny,Chansey,,Daytime (holding Oval Stone),Other
Tangela,Tangrowth,,after AncientPower learned,Other
Mime Jr.,Mr. Mime,,after Mimic learned,Other
Eevee,Leafeon,,near mossy rock in Eterna Forest or Pinwheel Forest,Other
Eevee,Glaceon,,near icy rock in Route 217 or Twist Mountain,Other
Eevee,Sylveon,,maximum Affection in Pokémon Amie and knows a Fairy-type move,Other
Bonsly,Sudowoodo,,after Mimic learned,Other
Aipom,Ambipom,,after Double Hit learned,Other
Yanma,Yanmega,,after AncientPower learned,Other
Gligar,Gliscor,,Nighttime (holding Razor Fang),Other
Sneasel,Weavile,,Nighttime (holding Razor Claw),Other
Piloswine,Mamoswine,,after AncientPower learned,Other
Mantyke,Mantine,,with Remoraid in party,Other
Wurmple,Silcoon,7,"Random, based on personality",Other
Wurmple,Cascoon,7,"Random, based on personality",Other
Nincada,Shedinja,20,with empty spot in party,Other
Nosepass,Probopass,,in Mt. Coronet or Chargestone Cave,Other
Feebas,Milotic,,Beauty,Other
Burmy,Mothim,20,Male,Other
Burmy,Wormadam,20,"Female, outside",Other
,Plant Cloak,,,Other
Burmy,Wormadam,20,"Female, in caves",Other
,Sandy Cloak,,,Other
Burmy,Wormadam,20,"Female, in buildings",Other
,Trash Cloak,,,Other
Combee,Vespiquen,21,Female,Other
Karrablast,Escavalier,,Trade with Shelmet,Other
Shelmet,Accelgor,,Trade with Karrablast,Other
Pancham,Pangoro,32,with a Dark type Pokémon in party,Other
Spritzee,Aromatisse,,Trade holding Sachet,Other
Swirlix,Slurpuff,,Trade holding Whipped Dream,Other
Inkay,Malamar,30,holding 3DS upside down,Other
Tyrunt,Tyrantrum,39,Daytime,Other
Amaura,Aurorus,39,Nighttime,Other
Sliggoo,Goodra,55,during rain,Other
Pichu,Pikachu,,,Happiness
Cleffa,Clefairy,,,Happiness
Igglybuff,Jigglypuff,,,Happiness
Golbat,Crobat,,,Happiness
Chansey,Blissey,,,Happiness
Eevee,Espeon,,Daytime,Happiness
Eevee,Umbreon,,Nighttime,Happiness
Munchlax,Snorlax,,,Happiness
Togepi,Togetic,,,Happiness
Azurill,Marill,,,Happiness
Budew,Roselia,,Daytime,Happiness
Chingling,Chimecho,,Nighttime,Happiness
Buneary,Lopunny,,,Happiness
Riolu,Lucario,,Daytime,Happiness
Woobat,Swoobat,,,Happiness
Swadloon,Leavanny,,,Happiness
