Game_number,Penalty_Number,Event_Year,Winner,Full_Time_Score,Loser,Winning_team_GK,Winning_team_Taker,Losing_team_Taker,Losing_team_GK,Round,Game_Date
16,3,"2016,", Poland,1–1,  Switzerland,Fabia?ski,Glik Penalty scored,Penalty scored Shaqiri,Sommer,Round of 16,25-Jun
16,4,"2016,", Poland,1–1,  Switzerland,Fabia?ski,B?aszczykowski Penalty scored,Penalty scored Schär,Sommer,Round of 16,25-Jun
16,5,"2016,", Poland,1–1,  Switzerland,Fabia?ski,Krychowiak Penalty scored,Penalty scored Rodríguez,Sommer,Round of 16,25-Jun
17,1,"2016,", Portugal,1–1, Poland,Patrício,Ronaldo Penalty scored,Penalty scored Lewandowski,Fabia?ski,Quarter-finals,30-Jun
17,2,"2016,", Portugal,1–1, Poland,Patrício,Sanches Penalty scored,Penalty scored Milik,Fabia?ski,Quarter-finals,30-Jun
17,3,"2016,", Portugal,1–1, Poland,Patrício,Moutinho Penalty scored,Penalty scored Glik,Fabia?ski,Quarter-finals,30-Jun
17,4,"2016,", Portugal,1–1, Poland,Patrício,Nani Penalty scored,Penalty missed B?aszczykowski,Fabia?ski,Quarter-finals,30-Jun
17,5,"2016,", Portugal,1–1, Poland,Patrício,Quaresma Penalty scored,,Fabia?ski,Quarter-finals,30-Jun
18,1,"2016,", Germany,1–1, Italy,Neuer,Kroos Penalty scored,Penalty scored Insigne,Buffon,Quarter-finals,2-Jul
18,2,"2016,", Germany,1–1, Italy,Neuer,Müller Penalty missed,Penalty missed Zaza,Buffon,Quarter-finals,2-Jul
18,3,"2016,", Germany,1–1, Italy,Neuer,Özil Penalty missed,Penalty scored Barzagli,Buffon,Quarter-finals,2-Jul
18,4,"2016,", Germany,1–1, Italy,Neuer,Draxler Penalty scored,Penalty missed Pellè,Buffon,Quarter-finals,2-Jul
18,5,"2016,", Germany,1–1, Italy,Neuer,Schweinsteiger Penalty missed,Penalty missed Bonucci,Buffon,Quarter-finals,2-Jul
18,6,"2016,", Germany,1–1, Italy,Neuer,Hummels Penalty scored,Penalty scored Giaccherini,Buffon,Quarter-finals,2-Jul
18,7,"2016,", Germany,1–1, Italy,Neuer,Kimmich Penalty scored,Penalty scored Parolo,Buffon,Quarter-finals,2-Jul
18,8,"2016,", Germany,1–1, Italy,Neuer,Boateng Penalty scored,Penalty scored De Sciglio,Buffon,Quarter-finals,2-Jul
18,9,"2016,", Germany,1–1, Italy,Neuer,Hector Penalty scored,Penalty missed Darmian,Buffon,Quarter-finals,2-Jul
19,1,"2020,",  Switzerland,3–3, France,Sommer,Gavranovi? Penalty scored,Penalty scored Pogba,Lloris,Round of 16,28-Jun
19,2,"2020,",  Switzerland,3–3, France,Sommer,Schär Penalty scored,Penalty scored Giroud,Lloris,Round of 16,28-Jun
19,3,"2020,",  Switzerland,3–3, France,Sommer,Akanji Penalty scored,Penalty scored Thuram,Lloris,Round of 16,28-Jun
19,4,"2020,",  Switzerland,3–3, France,Sommer,Vargas Penalty scored,Penalty scored Kimpembe,Lloris,Round of 16,28-Jun
19,5,"2020,",  Switzerland,3–3, France,Sommer,Mehmedi Penalty scored,Penalty missed Mbappé,Lloris,Round of 16,28-Jun
20,1,"2020,", Spain,1–1,  Switzerland,Simón,Busquets Penalty missed,Penalty scored Gavranovi?,Sommer,Quarter-finals,2-Jul
20,2,"2020,", Spain,1–1,  Switzerland,Simón,Olmo Penalty scored,Penalty missed Schär,Sommer,Quarter-finals,2-Jul
20,3,"2020,", Spain,1–1,  Switzerland,Simón,Rodri Penalty missed,Penalty missed Akanji,Sommer,Quarter-finals,2-Jul
20,4,"2020,", Spain,1–1,  Switzerland,Simón,Gerard Penalty scored,Penalty missed Vargas,Sommer,Quarter-finals,2-Jul
20,5,"2020,", Spain,1–1,  Switzerland,Simón,Oyarzabal Penalty scored,,Sommer,Quarter-finals,2-Jul
21,1,"2020,", Italy,1–1, Spain,Donnarumma,Locatelli Penalty missed,Penalty missed Olmo,Simón,Semi-finals,6-Jul
21,2,"2020,", Italy,1–1, Spain,Donnarumma,Belotti Penalty scored,Penalty scored Gerard,Simón,Semi-finals,6-Jul
21,3,"2020,", Italy,1–1, Spain,Donnarumma,Bonucci Penalty scored,Penalty scored Thiago,Simón,Semi-finals,6-Jul
21,4,"2020,", Italy,1–1, Spain,Donnarumma,Bernardeschi Penalty scored,Penalty missed Morata,Simón,Semi-finals,6-Jul
21,5,"2020,", Italy,1–1, Spain,Donnarumma,Jorginho Penalty scored,,Simón,Semi-finals,6-Jul
22,1,"2020,", Italy,1–1, England,Donnarumma,Berardi Penalty scored,Penalty scored Kane,Pickford,Final,11-Jul
22,2,"2020,", Italy,1–1, England,Donnarumma,Belotti Penalty missed,Penalty scored Maguire,Pickford,Final,11-Jul
22,3,"2020,", Italy,1–1, England,Donnarumma,Bonucci Penalty scored,Penalty missed Rashford,Pickford,Final,11-Jul
22,4,"2020,", Italy,1–1, England,Donnarumma,Bernardeschi Penalty scored,Penalty missed Sancho,Pickford,Final,11-Jul
22,5,"2020,", Italy,1–1, England,Donnarumma,Jorginho Penalty missed,Penalty missed Saka,Pickford,Final,11-Jul
